time;exp1_x;exp1_gir;exp2_x;exp2_gir;exp3_x;exp3_gir;exp4_x;exp4_gir;;
29.036;-0,22;0,26;-0,20;0,20;-0,32;0,32;-0,33;0,34;;
29.078;-0,26;0,30;-0,20;0,20;-0,32;0,32;-0,30;0,30;;
29.086;-0,26;0,30;-0,20;0,20;-0,32;0,32;-0,30;0,30;;
29.136;-0,27;0,29;-0,10;0,10;-0,33;0,33;-0,30;0,30;;
29.148;-0,27;0,29;-0,10;0,10;-0,33;0,33;-0,23;0,23;;
29.186;-0,27;0,29;-0,10;0,10;-0,27;0,27;-0,23;0,23;;
29.223;-0,28;0,30;-0,10;0,10;-0,27;0,27;-0,19;0,20;;
29.236;-0,28;0,30;-0,13;0,37;-0,27;0,27;-0,19;0,20;;
29.286;-0,23;0,25;-0,13;0,37;-0,20;0,20;-0,19;0,20;;
29.29;-0,23;0,25;-0,62;3,03;-0,20;0,20;-0,37;0,85;;
29.341;-0,23;0,25;-0,62;3,03;-0,15;0,15;-0,37;0,85;;
29.36;-0,17;0,18;-0,62;3,03;-0,15;0,15;-0,44;0,90;;
29.386;-0,17;0,18;0,12;1,97;-0,03;0,04;-0,44;0,90;;
29.428;-0,12;0,12;0,12;1,97;-0,03;0,04;0,18;0,31;;
29.436;-0,12;0,12;0,09;0,41;-0,03;0,04;0,18;0,31;;
29.486;-0,02;0,03;0,09;0,41;0,06;0,06;0,18;0,31;;
29.498;-0,02;0,03;0,02;0,35;0,06;0,06;0,00;0,09;;
29.543;-0,02;0,03;0,02;0,35;0,12;0,12;0,00;0,09;;
29.568;0,07;0,09;0,02;0,35;0,12;0,12;-0,19;0,24;;
29.586;0,07;0,09;-0,47;0,66;0,12;0,12;-0,19;0,24;;
29.636;-0,09;0,39;-0,47;0,66;-0,62;0,85;-0,19;0,24;;
29.638;-0,09;0,39;0,31;0,59;-0,62;0,85;0,16;0,19;;
29.686;-0,09;0,39;0,31;0,59;0,39;0,88;0,16;0,19;;
29.708;-0,36;0,75;0,31;0,59;0,39;0,88;-0,03;0,25;;
29.736;-0,36;0,75;0,08;0,14;-0,18;0,25;-0,03;0,25;;
29.777;0,97;1,79;0,08;0,14;-0,18;0,25;0,06;0,16;;
29.785;0,97;1,79;-0,15;0,48;-0,18;0,25;0,06;0,16;;
29.841;-0,34;0,71;-0,15;0,48;0,18;0,36;0,06;0,16;;
29.847;-0,34;0,71;0,22;0,35;0,18;0,36;-0,11;0,22;;
29.886;-0,34;0,71;0,22;0,35;-0,28;0,40;-0,11;0,22;;
29.917;-0,12;1,25;0,22;0,35;-0,28;0,40;0,09;0,28;;
29.942;-0,12;1,25;-0,03;0,10;-0,28;0,40;0,09;0,28;;
29.986;-0,07;0,65;-0,03;0,10;0,03;0,28;0,09;0,28;;
29.989;-0,07;0,65;0,03;0,03;0,03;0,28;-0,05;0,08;;
30.037;-0,07;0,65;0,03;0,03;-0,11;0,14;-0,05;0,08;;
30.059;0,18;0,43;0,03;0,03;-0,11;0,14;0,05;0,09;;
30.086;0,18;0,43;-0,11;0,12;0,06;0,20;0,05;0,09;;
30.145;-0,10;0,20;-0,11;0,12;0,06;0,20;-0,04;0,16;;
30.147;-0,10;0,20;-0,01;0,11;0,06;0,20;-0,04;0,16;;
30.186;-0,10;0,20;-0,01;0,11;0,06;0,20;-0,04;0,16;;
30.198;0,06;0,20;0,00;0,02;0,06;0,20;0,05;0,13;;
30.24;0,06;0,20;0,00;0,02;-0,06;0,24;0,05;0,13;;
30.268;-0,05;0,14;0,00;0,02;-0,06;0,24;-0,08;0,18;;
30.286;-0,05;0,14;-0,03;0,04;-0,06;0,24;-0,08;0,18;;
30.337;-0,01;0,03;-0,03;0,04;-0,06;0,24;-0,08;0,18;;
30.352;-0,01;0,03;0,04;0,10;0,00;0,30;0,03;0,09;;
30.386;-0,01;0,03;0,04;0,10;0,00;0,30;0,03;0,09;;
30.408;0,02;0,14;0,04;0,10;0,00;0,30;-0,03;0,08;;
30.436;0,02;0,14;-0,02;0,12;0,00;0,30;-0,03;0,08;;
30.477;-0,03;0,17;-0,02;0,12;0,00;0,30;0,13;0,18;;
30.486;-0,03;0,17;-0,01;0,12;-0,01;0,12;0,13;0,18;;
30.54;-0,03;0,17;-0,01;0,12;-0,01;0,12;0,13;0,18;;
30.549;-0,03;0,27;-0,04;0,10;-0,01;0,12;-0,14;0,16;;
30.586;-0,03;0,27;-0,04;0,10;-0,01;0,12;-0,14;0,16;;
30.618;-0,03;0,08;-0,04;0,10;0,02;0,07;0,10;0,17;;
30.643;-0,03;0,08;0,07;0,16;0,02;0,07;0,10;0,17;;
30.686;0,03;0,12;0,07;0,16;0,02;0,07;0,10;0,17;;
30.69;0,03;0,12;0,02;0,04;0,02;0,07;-0,05;0,14;;
30.745;0,03;0,12;0,02;0,04;0,02;0,07;-0,05;0,14;;
30.761;-0,10;0,16;0,02;0,04;0,01;0,10;0,09;0,10;;
30.786;-0,10;0,16;0,00;0,07;0,01;0,10;0,09;0,10;;
30.837;0,02;0,03;0,00;0,07;0,01;0,10;-0,01;0,08;;
30.845;0,02;0,03;-0,04;0,05;0,01;0,10;-0,01;0,08;;
30.886;0,02;0,03;-0,04;0,05;-0,06;0,14;-0,01;0,08;;
30.898;0,01;0,02;0,01;0,07;-0,06;0,14;-0,16;0,29;;
30.936;0,01;0,02;0,01;0,07;-0,06;0,14;-0,16;0,29;;
30.967;-0,12;0,12;0,01;0,07;-0,06;0,14;0,23;0,28;;
30.986;-0,12;0,12;0,01;0,08;-0,06;0,14;0,23;0,28;;
31.036;-0,02;0,04;0,01;0,08;0,04;0,04;0,23;0,28;;
31.038;-0,02;0,04;-0,08;0,08;0,04;0,04;-0,07;0,11;;
31.086;-0,02;0,04;-0,08;0,08;0,04;0,04;-0,07;0,11;;
31.108;0,04;0,11;-0,08;0,08;0,04;0,04;-0,16;0,35;;
31.136;0,04;0,11;0,06;0,13;-0,02;0,05;-0,16;0,35;;
31.177;-0,02;0,10;0,06;0,13;-0,02;0,05;0,13;0,29;;
31.186;-0,02;0,10;0,05;0,07;-0,02;0,05;0,13;0,29;;
31.236;-0,02;0,10;0,05;0,07;0,08;0,10;0,13;0,29;;
31.252;0,02;0,04;0,00;0,03;0,08;0,10;-0,04;0,17;;
31.286;0,02;0,04;0,00;0,03;0,08;0,10;-0,04;0,17;;
31.317;-0,02;0,11;0,00;0,03;-0,10;0,11;0,04;0,08;;
31.336;-0,02;0,11;-0,04;0,05;-0,10;0,11;0,04;0,08;;
31.386;0,10;0,17;-0,04;0,05;0,09;0,11;0,04;0,08;;
31.392;0,10;0,17;0,03;0,05;0,09;0,11;-0,08;0,09;;
31.436;0,10;0,17;0,03;0,05;0,09;0,11;-0,08;0,09;;
31.463;-0,11;0,18;0,03;0,05;-0,10;0,13;0,07;0,16;;
31.486;-0,11;0,18;-0,02;0,04;-0,10;0,13;0,07;0,16;;
31.528;0,06;0,14;-0,02;0,04;0,07;0,11;0,03;0,19;;
31.536;0,06;0,14;0,02;0,12;0,07;0,11;0,03;0,19;;
31.592;0,06;0,14;0,02;0,12;-0,05;0,06;0,03;0,19;;
31.597;-0,06;0,09;-0,04;0,06;-0,05;0,06;0,04;0,25;;
31.636;-0,06;0,09;-0,04;0,06;-0,05;0,06;0,04;0,25;;
31.668;0,13;0,17;-0,04;0,06;0,09;0,10;-0,15;0,27;;
31.686;0,13;0,17;0,02;0,02;0,09;0,10;-0,15;0,27;;
31.736;-0,05;0,20;0,02;0,02;0,04;0,09;-0,15;0,27;;
31.755;-0,05;0,20;0,02;0,06;0,04;0,09;0,12;0,25;;
31.786;-0,05;0,20;0,02;0,06;0,04;0,09;0,12;0,25;;
31.817;0,00;0,12;0,02;0,06;-0,11;0,20;0,13;0,15;;
31.836;0,00;0,12;0,02;0,07;-0,11;0,20;0,13;0,15;;
31.886;0,04;0,11;0,02;0,07;0,08;0,28;-0,06;0,21;;
31.888;0,04;0,11;0,01;0,08;0,08;0,28;-0,06;0,21;;
31.936;0,04;0,11;0,01;0,08;-0,12;0,15;-0,06;0,21;;
31.962;0,01;0,07;0,01;0,08;-0,12;0,15;-0,02;0,18;;
31.986;0,01;0,07;-0,02;0,05;-0,12;0,15;-0,02;0,18;;
32.028;0,00;0,16;-0,02;0,05;-0,06;0,13;0,01;0,04;;
32.036;0,00;0,16;-0,06;0,09;-0,06;0,13;0,01;0,04;;
32.086;0,10;0,11;-0,06;0,09;0,09;0,40;0,01;0,04;;
32.098;0,10;0,11;0,05;0,06;0,09;0,40;-0,05;0,10;;
32.136;0,10;0,11;0,05;0,06;0,09;0,40;-0,05;0,10;;
32.168;-0,03;0,07;0,05;0,06;-0,14;0,20;0,01;0,16;;
32.186;-0,03;0,07;-0,04;0,04;-0,14;0,20;0,01;0,16;;
32.236;0,04;0,07;-0,04;0,04;0,07;0,09;-0,05;0,12;;
32.238;0,04;0,07;0,01;0,06;0,07;0,09;-0,05;0,12;;
32.286;0,04;0,07;0,01;0,06;-0,09;0,13;-0,05;0,12;;
32.308;0,03;0,04;0,01;0,06;-0,09;0,13;0,13;0,18;;
32.336;0,03;0,04;-0,01;0,04;-0,09;0,13;0,13;0,18;;
32.377;0,01;0,02;-0,01;0,04;0,01;0,09;0,08;0,09;;
32.385;0,01;0,02;0,01;0,02;0,01;0,09;0,08;0,09;;
32.436;0,02;0,11;0,01;0,02;-0,03;0,03;0,08;0,09;;
32.452;0,02;0,11;0,00;0,03;-0,03;0,03;-0,06;0,14;;
32.486;0,02;0,11;0,00;0,03;-0,03;0,03;-0,06;0,14;;
32.517;0,04;0,15;0,00;0,03;0,02;0,04;-0,12;0,24;;
32.536;0,04;0,15;0,00;0,07;0,02;0,04;-0,12;0,24;;
32.586;0,07;0,09;0,00;0,07;-0,04;0,15;0,17;0,17;;
32.593;0,07;0,09;0,00;0,08;-0,04;0,15;0,17;0,17;;
32.636;0,07;0,09;0,00;0,08;0,12;0,27;0,17;0,17;;
32.658;0,00;0,10;0,00;0,08;0,12;0,27;-0,02;0,09;;
32.686;0,00;0,10;0,00;0,00;0,12;0,27;-0,02;0,09;;
32.728;-0,03;0,14;0,00;0,00;-0,04;0,06;-0,05;0,13;;
32.736;-0,03;0,14;-0,03;0,03;-0,04;0,06;-0,05;0,13;;
32.786;-0,01;0,16;-0,03;0,03;-0,03;0,20;-0,05;0,13;;
32.798;-0,01;0,16;0,02;0,03;-0,03;0,20;-0,02;0,12;;
32.836;-0,01;0,16;0,02;0,03;-0,03;0,20;-0,02;0,12;;
32.876;0,25;0,31;0,02;0,03;-0,02;0,16;0,13;0,21;;
32.886;0,25;0,31;0,04;0,04;-0,02;0,16;0,13;0,21;;
32.936;-0,04;0,07;0,04;0,04;0,01;0,02;-0,06;0,25;;
32.945;-0,04;0,07;-0,05;0,07;0,01;0,02;-0,06;0,25;;
32.986;-0,04;0,07;-0,05;0,07;-0,04;0,05;-0,06;0,25;;
33.008;-0,06;0,25;-0,05;0,07;-0,04;0,05;0,01;0,02;;
33.036;-0,06;0,25;-0,01;0,03;-0,04;0,05;0,01;0,02;;
33.078;0,15;0,56;-0,01;0,03;-0,03;0,04;-0,05;0,19;;
33.086;0,15;0,56;0,03;0,03;-0,03;0,04;-0,05;0,19;;
33.136;-0,13;0,21;0,03;0,03;-0,01;0,04;-0,05;0,19;;
33.148;-0,13;0,21;0,03;0,03;-0,01;0,04;-0,04;0,08;;
33.186;-0,13;0,21;-0,10;0,10;-0,01;0,04;-0,04;0,08;;
33.218;0,25;0,27;-0,10;0,10;0,04;0,04;0,02;0,04;;
33.236;0,25;0,27;0,00;0,02;0,04;0,04;0,02;0,04;;
33.286;-0,10;0,14;0,00;0,02;-0,04;0,06;0,08;0,12;;
33.289;-0,10;0,14;-0,06;0,08;-0,04;0,06;0,08;0,12;;
33.336;-0,10;0,14;-0,06;0,08;0,02;0,03;0,08;0,12;;
33.372;0,20;0,27;-0,06;0,08;0,02;0,03;-0,05;0,12;;
33.386;0,20;0,27;0,05;0,06;0,02;0,03;-0,05;0,12;;
33.428;-0,20;0,41;0,05;0,06;0,03;0,16;-0,04;0,11;;
33.436;-0,20;0,41;-0,05;0,08;0,03;0,16;-0,04;0,11;;
33.486;0,09;0,11;-0,05;0,08;0,02;0,03;-0,04;0,11;;
33.498;0,09;0,11;-0,05;0,08;0,02;0,03;0,03;0,07;;
33.536;0,09;0,11;-0,01;0,03;0,02;0,03;0,03;0,07;;
33.578;0,07;0,29;-0,01;0,03;-0,10;0,12;-0,04;0,09;;
33.586;0,07;0,29;0,01;0,02;-0,10;0,12;-0,04;0,09;;
33.636;0,09;0,10;0,01;0,02;0,04;0,06;-0,01;0,16;;
33.647;0,09;0,10;0,04;0,04;0,04;0,06;-0,01;0,16;;
33.686;0,09;0,10;0,04;0,04;-0,09;0,13;-0,01;0,16;;
33.717;-0,09;0,13;0,04;0,04;-0,09;0,13;0,07;0,18;;
33.736;-0,09;0,13;-0,03;0,09;-0,09;0,13;0,07;0,18;;
33.786;0,20;0,21;-0,03;0,09;0,02;0,05;0,02;0,09;;
33.789;0,20;0,21;-0,01;0,01;0,02;0,05;0,02;0,09;;
33.836;-0,14;0,17;-0,01;0,01;-0,07;0,18;0,02;0,09;;
33.867;-0,14;0,17;-0,01;0,01;-0,07;0,18;-0,05;0,10;;
33.886;-0,14;0,17;0,06;0,07;-0,07;0,18;-0,05;0,10;;
33.928;0,05;0,13;0,06;0,07;0,00;0,24;-0,07;0,11;;
33.936;0,05;0,13;-0,01;0,01;0,00;0,24;-0,07;0,11;;
33.986;0,10;0,14;-0,01;0,01;0,09;0,09;0,10;0,11;;
33.998;0,10;0,14;0,02;0,02;0,09;0,09;0,10;0,11;;
34.036;0,10;0,14;0,02;0,02;-0,18;0,18;0,10;0,11;;
34.077;-0,06;0,15;0,02;0,02;-0,18;0,18;-0,03;0,08;;
34.086;-0,06;0,15;0,00;0,07;-0,18;0,18;-0,03;0,08;;
34.136;0,00;0,14;0,00;0,07;0,08;0,08;-0,14;0,17;;
34.139;0,00;0,14;0,00;0,04;0,08;0,08;-0,14;0,17;;
34.186;0,08;0,21;0,00;0,04;0,02;0,06;-0,14;0,17;;
34.208;0,08;0,21;0,00;0,04;0,02;0,06;0,11;0,12;;
34.236;0,08;0,21;-0,05;0,05;0,02;0,06;0,11;0,12;;
34.278;-0,03;0,19;-0,05;0,05;0,04;0,06;0,07;0,09;;
34.286;-0,03;0,19;-0,03;0,04;0,04;0,06;0,07;0,09;;
34.336;-0,02;0,27;-0,03;0,04;-0,04;0,07;-0,09;0,12;;
34.348;-0,02;0,27;0,02;0,02;-0,04;0,07;-0,09;0,12;;
34.386;-0,02;0,27;0,02;0,02;-0,04;0,21;-0,09;0,12;;
34.418;0,06;0,23;0,02;0,02;-0,04;0,21;0,08;0,10;;
34.436;0,06;0,23;-0,01;0,09;-0,04;0,21;0,08;0,10;;
34.487;-0,01;0,21;-0,01;0,09;0,15;0,15;-0,03;0,09;;
34.549;-0,01;0,21;-0,01;0,06;0,15;0,15;-0,03;0,09;;
34.549;-0,05;0,25;-0,01;0,06;-0,12;0,17;-0,03;0,09;;
34.561;-0,05;0,25;-0,01;0,06;-0,12;0,17;0,01;0,04;;
34.589;-0,05;0,25;-0,03;0,05;-0,12;0,17;0,01;0,04;;
34.627;0,04;0,27;-0,03;0,05;-0,01;0,14;-0,09;0,11;;
34.635;0,04;0,27;-0,02;0,15;-0,01;0,14;-0,09;0,11;;
34.686;-0,01;0,19;-0,02;0,15;0,05;0,06;-0,09;0,11;;
34.698;-0,01;0,19;0,04;0,05;0,05;0,06;0,14;0,16;;
34.736;-0,01;0,19;0,04;0,05;-0,04;0,05;0,14;0,16;;
34.777;-0,05;0,16;0,04;0,05;-0,04;0,05;0,04;0,05;;
34.786;-0,05;0,16;-0,05;0,10;-0,04;0,05;0,04;0,05;;
34.836;0,02;0,18;-0,05;0,10;-0,09;0,09;-0,05;0,12;;
34.839;0,02;0,18;-0,04;0,04;-0,09;0,09;-0,05;0,12;;
34.886;0,01;0,07;-0,04;0,04;0,18;0,18;-0,05;0,12;;
34.908;0,01;0,07;-0,04;0,04;0,18;0,18;-0,03;0,12;;
34.936;0,01;0,07;0,01;0,03;0,18;0,18;-0,03;0,12;;
34.978;-0,05;0,11;0,01;0,03;-0,11;0,16;-0,02;0,05;;
