time x y z G
1,185 -0,03323 0,22476 0,97527 1,0013854719
1,195 -0,03518 0,22672 0,9655 0,9923859334
1,205 -0,03518 0,22867 0,96941 0,9966360165
1,215 -0,02932 0,23063 0,96354 0,9911907944
1,225 -0,03127 0,23063 0,96941 0,9969572498
1,235 -0,03518 0,22672 0,97723 1,003801805
1,245 -0,03323 0,23063 0,98113 1,0084198068
1,255 -0,03518 0,23258 0,97723 1,005141563
1,264 -0,03518 0,23063 0,98309 1,0103928827
1,275 -0,03518 0,23063 0,98113 1,0084859474
1,285 -0,03909 0,23258 0,98113 1,0090775795
1,295 -0,03713 0,23649 0,98113 1,0099119931
1,306 -0,04104 0,23063 0,98309 1,010613886
1,315 -0,03909 0,23258 0,98895 1,0166826383
1,325 -0,04104 0,22672 0,99677 1,0230526247
1,335 -0,03909 0,22867 1,00263 1,029118513
1,345 -0,03518 0,22867 0,98113 1,0080395221
1,355 -0,03909 0,23063 0,97918 1,0067331808
1,364 -0,03518 0,23063 0,97723 1,004692143
1,375 -0,03323 0,23063 0,97136 0,998916753
1,385 -0,02932 0,22672 0,96941 0,9960006872
1,396 -0,03323 0,22281 0,97332 0,9990497242
1,407 -0,03518 0,22281 0,97527 1,0010162343
1,415 -0,03323 0,22281 0,97918 1,0047596735
1,425 -0,03713 0,22672 0,98504 1,0114763452
1,435 -0,03909 0,22672 0,99091 1,0172672287
1,445 -0,04104 0,22476 0,99286 1,0188092652
1,455 -0,03909 0,22085 0,99677 1,0216913347
1,464 -0,04104 0,2189 0,99872 1,0232512546
1,475 -0,043 0,22085 0,99677 1,0218484014
1,485 -0,03909 0,22281 0,99286 1,0183041313
1,495 -0,03909 0,22281 0,98895 1,0144922014
1,505 -0,03127 0,22281 0,97136 0,9970769071
1,515 -0,02932 0,22281 0,96745 0,9932086694
1,525 -0,03323 0,22281 0,96745 0,9933317832
1,535 -0,03127 0,22085 0,96159 0,9871209974
1,545 -0,02932 0,22476 0,95964 0,9860454602
1,555 -0,03323 0,22476 0,96159 0,9880671124
1,564 -0,03127 0,22085 0,96159 0,9871209974
1,575 -0,02541 0,21304 0,96745 0,9909546973
1,585 -0,03323 0,21304 0,96745 0,9911860456
1,596 -0,03323 0,21304 0,97527 0,9988202278
1,606 -0,03518 0,21304 0,97918 1,0027049149
1,614 -0,03518 0,20913 0,98309 1,0057032054
1,625 -0,03713 0,21499 0,99677 1,0203674681
1,635 -0,03518 0,21694 1,00068 1,0245296767
1,645 -0,02932 0,2189 0,99091 1,0152238672
1,655 -0,03323 0,2189 0,97918 1,0038998532
1,664 -0,03909 0,22085 0,97527 1,0007268976
1,675 -0,03518 0,22281 0,97136 0,9972071892
1,685 -0,03518 0,22085 0,96941 0,9948708977
