time x y z G
0,003 -0,06841 0,36939 0,86973 0,9473959959
0,011 -0,05082 0,36353 0,87364 0,947619957
0,02 -0,02541 0,35571 0,89123 0,9599303022
0,03 -0,00977 0,3518 0,901 0,9672950392
0,041 0,00391 0,34985 0,91077 0,9756599323
0,05 0,01564 0,35571 0,92445 0,9906472713
0,059 0,01368 0,35766 0,93814 1,0040988386
0,07 0,01954 0,35766 0,944 1,0096724653
0,083 0,02932 0,34985 0,944 1,0071696406
0,092 0,03518 0,33226 0,96354 1,0198253143
0,1 0,03323 0,33226 0,98309 1,0382518426
0,113 0,02932 0,33226 0,98309 1,0381340559
0,12 0,02541 0,3303 0,987 1,0411113092
0,13 0,01954 0,32639 0,99091 1,0434629231
0,141 0,0215 0,32835 0,97332 1,0274374895
0,15 0,0215 0,32835 0,9655 1,0200324615
0,16 0,01564 0,33226 0,95964 1,0156526211
0,17 0,00977 0,33812 0,95377 1,0119771738
0,18 0,00391 0,33421 0,95377 1,0106378308
0,19 -0,00391 0,33226 0,95182 1,008153415
0,204 -0,01368 0,33421 0,95377 1,0107228499
0,215 -0,0215 0,32639 0,95182 1,0064561563
0,22 -0,01954 0,31662 0,95964 1,0107121082
0,23 -0,02345 0,31271 0,96354 1,0132851416
0,24 -0,02932 0,31076 0,96354 1,0128379789
0,25 -0,02932 0,31271 0,96745 1,0171561871
0,265 -0,02541 0,30685 0,96354 1,0115393824
0,27 -0,02345 0,3088 0,95377 1,0027883901
0,28 -0,02736 0,3088 0,94791 0,9973160872
0,291 -0,02932 0,31662 0,94595 0,9979625691
0,3 -0,02736 0,31467 0,95182 1,0028594572
0,311 -0,0215 0,31271 0,95964 1,0095339141
0,32 -0,01954 0,31271 0,96941 1,0187860933
0,33 -0,01954 0,30685 0,95768 1,0058278762
0,341 -0,02541 0,30489 0,95377 1,0016390533
0,35 -0,02932 0,31076 0,95768 1,0072648224
0,36 -0,02932 0,3088 0,95964 1,008526664
0,37 -0,0215 0,3088 0,95964 1,0083296185
0,38 -0,01954 0,30685 0,96159 1,0095514163
0,39 -0,0215 0,30099 0,95768 1,0040957188
0,404 -0,02541 0,30294 0,95768 1,0047732551
0,411 -0,02932 0,30685 0,97332 1,0209644496
0,42 -0,02736 0,30489 0,97136 1,0184531071
0,43 -0,01954 0,30099 0,96941 1,0152499888
0,441 -0,01954 0,29512 0,96159 1,0060481868
0,45 -0,02932 0,30294 0,95377 1,0011540935
0,463 -0,02932 0,30099 0,95573 1,0024342749
0,469 -0,02932 0,30099 0,95182 0,9987071417
