time;x;y;z;gx;gy;gz;result_acelerometro;result_giroscopio
0.001;-0,02;1,08;0,06;-0,01;0,60;0,06;1,08;0,60
0.002;-0,03;1,07;0,17;-0,01;0,60;0,06;1,08;0,60
0.055;-0,04;1,08;0,17;-0,01;0,60;0,06;1,09;0,60
0.062;-0,04;1,08;0,17;0,05;-0,03;-0,06;1,09;0,08
0.096;-0,04;1,08;0,11;0,05;-0,03;-0,06;1,09;0,08
0.118;-0,04;1,08;0,11;0,03;0,00;-0,03;1,09;0,04
0.15;-0,04;1,08;0,13;0,03;0,00;-0,03;1,09;0,04
0.188;-0,04;1,08;0,13;0,02;0,00;0,00;1,09;0,02
0.196;-0,03;1,08;0,12;0,02;0,00;0,00;1,09;0,02
0.25;-0,03;1,08;0,12;0,02;0,00;0,00;1,09;0,02
0.264;-0,03;1,08;0,12;0,02;0,02;0,02;1,09;0,03
0.296;-0,04;1,08;0,11;0,02;0,02;0,02;1,09;0,03
0.333;-0,04;1,08;0,11;0,06;0,02;0,03;1,09;0,07
0.346;-0,03;1,08;0,13;0,06;0,02;0,03;1,09;0,07
0.396;-0,03;1,08;0,12;0,06;0,02;0,03;1,09;0,07
0.399;-0,03;1,08;0,12;0,08;-0,04;0,10;1,09;0,13
0.449;-0,02;1,08;0,10;0,08;-0,04;0,10;1,08;0,13
0.468;-0,02;1,08;0,10;0,14;-0,08;0,11;1,08;0,20
0.496;-0,02;1,08;0,09;0,14;-0,08;0,11;1,08;0,20
0.538;-0,02;1,08;0,09;0,10;0,06;0,05;1,08;0,13
0.546;-0,02;1,08;0,11;0,10;0,06;0,05;1,09;0,13
0.596;-0,01;1,09;0,09;0,10;0,06;0,05;1,09;0,13
0.609;-0,01;1,09;0,09;0,15;0,09;0,05;1,09;0,18
0.653;-0,01;1,09;0,11;0,15;0,09;0,05;1,10;0,18
0.679;-0,01;1,09;0,11;0,19;-0,10;0,08;1,10;0,23
0.696;-0,01;1,08;0,04;0,19;-0,10;0,08;1,08;0,23
0.748;0,00;1,08;0,05;0,19;-0,10;0,08;1,08;0,23
0.75;0,00;1,08;0,05;0,14;0,17;0,04;1,08;0,22
0.796;0,00;1,08;0,05;0,14;0,17;0,04;1,08;0,22
0.818;0,00;1,08;0,05;0,26;0,10;0,09;1,08;0,29
0.848;0,00;1,09;0,06;0,26;0,10;0,09;1,09;0,29
0.888;0,00;1,09;0,06;0,21;0,01;0,05;1,09;0,22
0.896;0,00;1,09;0,05;0,21;0,01;0,05;1,09;0,22
0.946;0,01;1,09;0,07;0,21;0,01;0,05;1,09;0,22
0.958;0,01;1,09;0,07;-0,04;-0,12;0,02;1,09;0,13
0.996;0,01;1,09;0,05;-0,04;-0,12;0,02;1,09;0,13
1.043;0,01;1,09;0,05;-0,14;-0,18;0,01;1,09;0,23
1.046;0,01;1,09;0,04;-0,14;-0,18;0,01;1,09;0,23
1.096;0,01;1,09;0,04;-0,14;-0,18;0,01;1,09;0,23
1.1;0,01;1,09;0,04;-0,04;-0,19;0,04;1,09;0,20
1.146;0,01;1,08;0,02;-0,04;-0,19;0,04;1,08;0,20
1.167;0,01;1,08;0,02;-0,04;-0,10;0,00;1,08;0,11
1.196;0,00;1,08;0,02;-0,04;-0,10;0,00;1,08;0,11
1.245;0,00;1,08;0,02;0,06;0,11;0,00;1,08;0,13
1.246;0,01;1,09;0,05;0,06;0,11;0,00;1,09;0,13
1.296;0,01;1,09;0,05;0,06;0,11;0,00;1,09;0,13
1.31;0,01;1,09;0,05;0,07;0,02;0,09;1,09;0,12
1.356;0,01;1,09;0,05;0,07;0,02;0,09;1,09;0,12
1.378;0,01;1,09;0,05;0,04;-0,05;0,04;1,09;0,08
1.396;0,03;1,09;0,04;0,04;-0,05;0,04;1,09;0,08
1.446;0,03;1,09;0,03;0,04;-0,05;0,04;1,09;0,08
1.449;0,03;1,09;0,03;-0,04;-0,13;0,05;1,09;0,14
1.496;0,02;1,09;0,03;-0,04;-0,13;0,05;1,09;0,14
1.517;0,02;1,09;0,03;0,08;0,01;0,04;1,09;0,09
1.547;0,02;1,08;0,03;0,08;0,01;0,04;1,08;0,09
1.588;0,02;1,08;0,03;0,19;-0,13;-0,05;1,08;0,24
1.596;0,02;1,09;0,04;0,19;-0,13;-0,05;1,09;0,24
1.646;0,02;1,09;0,01;0,19;-0,13;-0,05;1,09;0,24
1.659;0,02;1,09;0,01;0,04;-0,37;-0,03;1,09;0,37
1.696;0,02;1,09;0,00;0,04;-0,37;-0,03;1,09;0,37
1.732;0,02;1,09;0,00;0,02;-0,16;0,03;1,09;0,16
1.751;0,03;1,09;-0,01;0,02;-0,16;0,03;1,09;0,16
1.796;0,03;1,09;0,03;0,02;-0,16;0,03;1,09;0,16
1.799;0,03;1,09;0,03;0,11;0,19;0,14;1,09;0,26
1.846;0,04;1,09;0,02;0,11;0,19;0,14;1,09;0,26
1.868;0,04;1,09;0,02;0,17;0,05;0,13;1,09;0,22
1.896;0,04;1,09;0,01;0,17;0,05;0,13;1,09;0,22
1.946;0,04;1,09;0,01;-0,02;-0,01;0,09;1,09;0,09
1.948;0,04;1,08;0,00;-0,02;-0,01;0,09;1,08;0,09
1.996;0,04;1,08;-0,02;-0,02;-0,01;0,09;1,08;0,09
2.009;0,04;1,08;-0,02;-0,11;0,00;0,03;1,08;0,11
2.057;0,05;1,08;-0,04;-0,11;0,00;0,03;1,08;0,11
2.078;0,05;1,08;-0,04;0,00;0,23;-0,02;1,08;0,23
2.096;0,06;1,09;-0,04;0,00;0,23;-0,02;1,09;0,23
2.146;0,06;1,09;-0,04;0,00;0,23;-0,02;1,09;0,23
2.149;0,06;1,09;-0,04;0,18;0,39;0,00;1,09;0,43
2.196;0,06;1,09;0,00;0,18;0,39;0,00;1,09;0,43
2.218;0,06;1,09;0,00;0,23;0,40;0,08;1,09;0,47
2.252;0,06;1,09;0,00;0,23;0,40;0,08;1,09;0,47
2.288;0,06;1,09;0,00;0,14;0,24;0,05;1,09;0,28
2.296;0,07;1,08;-0,04;0,14;0,24;0,05;1,08;0,28
2.346;0,08;1,09;-0,04;0,14;0,24;0,05;1,09;0,28
2.36;0,08;1,09;-0,04;-0,18;0,22;0,17;1,09;0,33
2.396;0,08;1,08;-0,03;-0,18;0,22;0,17;1,08;0,33
2.434;0,08;1,08;-0,03;0,14;0,05;0,17;1,08;0,23
2.446;0,08;1,09;-0,05;0,14;0,05;0,17;1,09;0,23
2.496;0,06;1,08;-0,05;0,14;0,05;0,17;1,08;0,23
2.499;0,06;1,08;-0,05;0,27;0,40;0,11;1,08;0,49
2.546;0,07;1,08;-0,05;0,27;0,40;0,11;1,08;0,49
2.567;0,07;1,08;-0,05;0,13;0,54;-0,16;1,08;0,58
2.596;0,09;1,09;-0,06;0,13;0,54;-0,16;1,10;0,58
2.638;0,09;1,09;-0,06;0,04;0,83;-0,04;1,10;0,83
2.651;0,11;1,10;-0,02;0,04;0,83;-0,04;1,11;0,83
2.696;0,10;1,10;-0,01;0,04;0,83;-0,04;1,10;0,83
2.708;0,10;1,10;-0,01;0,10;0,35;0,27;1,10;0,45
2.752;0,11;1,09;-0,06;0,10;0,35;0,27;1,10;0,45
2.778;0,11;1,09;-0,06;-0,19;-0,08;0,56;1,10;0,60
2.796;0,11;1,08;-0,07;-0,19;-0,08;0,56;1,09;0,60
2.851;0,14;1,08;-0,07;-0,19;-0,08;0,56;1,09;0,60
2.853;0,14;1,08;-0,07;0,16;0,36;0,53;1,09;0,66
2.93;0,17;1,08;-0,05;0,16;0,36;0,53;1,09;0,66
2.931;0,17;1,08;-0,05;0,10;0,59;0,46;1,09;0,75
2.948;0,18;1,06;0,01;0,10;0,59;0,46;1,08;0,75
2.988;0,18;1,06;0,01;0,07;-0,18;0,13;1,08;0,23
2.996;0,18;1,05;-0,03;0,07;-0,18;0,13;1,07;0,23
3.049;0,18;1,05;-0,07;0,07;-0,18;0,13;1,07;0,23
3.059;0,18;1,05;-0,07;-0,15;-0,22;-0,33;1,07;0,42
3.096;0,19;1,08;-0,05;-0,15;-0,22;-0,33;1,10;0,42
3.127;0,19;1,08;-0,05;-0,03;0,00;-0,32;1,10;0,32
3.146;0,18;1,10;-0,04;-0,03;0,00;-0,32;1,12;0,32
3.196;0,16;1,08;-0,07;-0,03;0,00;-0,32;1,09;0,32
3.199;0,16;1,08;-0,07;0,14;-0,16;0,11;1,09;0,24
3.253;0,17;1,07;-0,09;0,14;-0,16;0,11;1,09;0,24
3.268;0,17;1,07;-0,09;-0,06;0,11;0,19;1,09;0,23
3.297;0,17;1,06;-0,06;-0,06;0,11;0,19;1,08;0,23
3.358;0,17;1,06;-0,06;0,02;-0,01;-0,03;1,08;0,04
3.359;0,17;1,06;-0,05;0,02;-0,01;-0,03;1,07;0,04
3.396;0,16;1,06;-0,06;0,02;-0,01;-0,03;1,07;0,04
3.409;0,16;1,06;-0,06;0,17;-0,16;-0,31;1,07;0,39
3.449;0,15;1,07;-0,07;0,17;-0,16;-0,31;1,08;0,39
3.478;0,15;1,07;-0,07;0,01;-0,13;-0,40;1,08;0,42
3.496;0,15;1,08;-0,07;0,01;-0,13;-0,40;1,09;0,42
3.557;0,15;1,10;-0,06;0,01;-0,13;-0,40;1,11;0,42
3.564;0,15;1,10;-0,06;0,05;-0,28;-0,15;1,11;0,32
3.596;0,15;1,10;-0,06;0,05;-0,28;-0,15;1,11;0,32
3.618;0,15;1,10;-0,06;0,28;-0,45;0,20;1,11;0,57
3.646;0,11;1,07;-0,10;0,28;-0,45;0,20;1,08;0,57
3.688;0,11;1,07;-0,10;0,01;-0,12;0,01;1,08;0,12
3.696;0,12;1,07;-0,11;0,01;-0,12;0,01;1,08;0,12
3.746;0,15;1,09;-0,07;0,01;-0,12;0,01;1,10;0,12
3.763;0,15;1,09;-0,07;-0,21;0,01;0,07;1,10;0,22
3.796;0,16;1,08;-0,08;-0,21;0,01;0,07;1,09;0,22
3.827;0,16;1,08;-0,08;0,15;-0,41;0,30;1,09;0,53
3.846;0,15;1,07;-0,12;0,15;-0,41;0,30;1,09;0,53
3.896;0,16;1,06;-0,13;0,15;-0,41;0,30;1,08;0,53
3.899;0,16;1,06;-0,13;0,06;0,12;0,13;1,08;0,19
3.946;0,18;1,06;-0,12;0,06;0,12;0,13;1,08;0,19
3.975;0,18;1,06;-0,12;-0,09;0,39;-0,10;1,08;0,41
3.996;0,18;1,07;-0,08;-0,09;0,39;-0,10;1,09;0,41
4.038;0,18;1,07;-0,08;0,01;-0,02;-0,11;1,09;0,11
4.046;0,17;1,07;-0,09;0,01;-0,02;-0,11;1,09;0,11
4.096;0,17;1,08;-0,12;0,01;-0,02;-0,11;1,10;0,11
4.11;0,17;1,08;-0,12;0,05;0,02;-0,01;1,10;0,05
4.146;0,16;1,07;-0,12;0,05;0,02;-0,01;1,09;0,05
4.178;0,16;1,07;-0,12;-0,04;0,12;0,11;1,09;0,17
4.196;0,17;1,07;-0,10;-0,04;0,12;0,11;1,09;0,17
4.246;0,17;1,07;-0,13;-0,04;0,12;0,11;1,09;0,17
4.249;0,17;1,07;-0,13;0,01;-0,04;0,14;1,09;0,15
4.296;0,15;1,05;-0,10;0,01;-0,04;0,14;1,07;0,15
4.318;0,15;1,05;-0,10;-0,01;-0,19;-0,15;1,07;0,24
4.346;0,17;1,08;-0,09;-0,01;-0,19;-0,15;1,10;0,24
4.388;0,17;1,08;-0,09;0,03;-0,46;-0,10;1,10;0,47
4.396;0,16;1,09;-0,11;0,03;-0,46;-0,10;1,11;0,47
4.446;0,14;1,07;-0,12;0,03;-0,46;-0,10;1,09;0,47
4.466;0,14;1,07;-0,12;-0,17;-0,11;0,01;1,09;0,20
4.496;0,14;1,07;-0,10;-0,17;-0,11;0,01;1,08;0,20
4.528;0,14;1,07;-0,10;-0,07;-0,04;-0,02;1,08;0,08
4.546;0,14;1,08;-0,10;-0,07;-0,04;-0,02;1,09;0,08
4.596;0,15;1,08;-0,09;-0,07;-0,04;-0,02;1,09;0,08
4.599;0,15;1,08;-0,09;0,30;0,00;-0,07;1,09;0,31
4.646;0,17;1,09;-0,08;0,30;0,00;-0,07;1,11;0,31
4.674;0,17;1,09;-0,08;0,36;0,50;0,08;1,11;0,62
4.696;0,15;1,06;-0,10;0,36;0,50;0,08;1,08;0,62
4.738;0,15;1,06;-0,10;-0,14;0,71;-0,13;1,08;0,74
4.746;0,15;1,06;-0,09;-0,14;0,71;-0,13;1,07;0,74
4.796;0,14;1,07;-0,10;-0,14;0,71;-0,13;1,08;0,74
4.808;0,14;1,07;-0,10;-0,30;0,44;-0,16;1,08;0,56
4.846;0,15;1,04;-0,10;-0,30;0,44;-0,16;1,06;0,56
4.878;0,15;1,04;-0,10;0,01;0,19;-0,55;1,06;0,58
4.896;0,17;1,10;-0,07;0,01;0,19;-0,55;1,12;0,58
4.946;0,15;1,12;-0,08;0,01;0,19;-0,55;1,13;0,58
4.948;0,15;1,12;-0,08;-0,09;-0,69;0,20;1,13;0,72
4.996;0,13;1,05;-0,07;-0,09;-0,69;0,20;1,06;0,72
5.017;0,13;1,05;-0,07;0,10;-0,72;0,09;1,06;0,73
5.046;0,14;1,07;-0,09;0,10;-0,72;0,09;1,08;0,73
5.088;0,14;1,07;-0,09;-0,48;-0,51;-0,23;1,08;0,74
5.096;0,13;1,08;-0,10;-0,48;-0,51;-0,23;1,09;0,74
5.146;0,12;1,11;-0,09;-0,48;-0,51;-0,23;1,12;0,74
5.159;0,12;1,11;-0,09;-0,17;0,09;0,10;1,12;0,22
5.203;0,10;1,08;-0,07;-0,17;0,09;0,10;1,09;0,22
5.227;0,10;1,08;-0,07;-0,05;0,00;0,01;1,09;0,05
5.246;0,06;1,08;-0,08;-0,05;0,00;0,01;1,08;0,05
5.296;0,07;1,10;-0,07;-0,05;0,00;0,01;1,10;0,05
5.299;0,07;1,10;-0,07;0,04;0,36;-0,07;1,10;0,37
5.346;0,09;1,09;-0,02;0,04;0,36;-0,07;1,09;0,37
5.368;0,09;1,09;-0,02;0,15;0,62;0,02;1,09;0,64
5.396;0,11;1,09;-0,02;0,15;0,62;0,02;1,10;0,64
5.438;0,11;1,09;-0,02;-0,24;0,16;0,02;1,10;0,29
5.446;0,13;1,07;-0,04;-0,24;0,16;0,02;1,08;0,29
5.496;0,14;1,08;-0,12;-0,24;0,16;0,02;1,10;0,29
5.508;0,14;1,08;-0,12;-0,17;0,31;0,08;1,10;0,36
5.546;0,11;1,04;-0,26;-0,17;0,31;0,08;1,08;0,36
5.589;0,11;1,04;-0,26;0,07;1,25;-0,24;1,08;1,27
5.596;0,13;1,09;0,11;0,07;1,25;-0,24;1,10;1,27
5.646;0,10;1,12;-0,06;0,07;1,25;-0,24;1,13;1,27
5.648;0,10;1,12;-0,06;0,46;-0,68;0,17;1,13;0,84
5.696;0,18;1,10;0,10;0,46;-0,68;0,17;1,12;0,84
5.718;0,18;1,10;0,10;-0,09;-1,37;0,79;1,12;1,58
5.746;0,14;1,09;0,03;-0,09;-1,37;0,79;1,10;1,58
5.791;0,14;1,09;0,03;-0,07;-1,83;0,29;1,10;1,85
5.858;0,11;1,06;-0,01;-0,07;-1,83;0,29;1,07;1,85
5.858;0,18;1,06;-0,09;-0,07;-1,83;0,29;1,08;1,85
5.859;0,18;1,06;-0,09;-0,82;-1,56;0,16;1,08;1,77
5.899;0,18;1,05;-0,08;-0,82;-1,56;0,16;1,07;1,77
5.927;0,18;1,05;-0,08;-0,88;-0,81;-0,28;1,07;1,23
5.946;0,22;1,08;-0,08;-0,88;-0,81;-0,28;1,11;1,23
5.996;0,19;1,09;-0,08;-0,88;-0,81;-0,28;1,11;1,23
5.998;0,19;1,09;-0,08;0,03;-0,11;0,00;1,11;0,11
6.046;0,14;1,07;-0,05;0,03;-0,11;0,00;1,08;0,11
6.068;0,14;1,07;-0,05;0,72;0,31;-0,32;1,08;0,85
6.096;0,17;1,11;-0,04;0,72;0,31;-0,32;1,12;0,85
6.138;0,17;1,11;-0,04;0,26;0,63;0,22;1,12;0,72
6.146;0,14;1,08;-0,01;0,26;0,63;0,22;1,09;0,72
6.196;0,12;1,07;0,00;0,26;0,63;0,22;1,08;0,72
6.211;0,12;1,07;0,00;-0,39;0,49;-0,02;1,08;0,63
6.246;0,14;1,07;-0,03;-0,39;0,49;-0,02;1,08;0,63
6.284;0,14;1,07;-0,03;-0,16;0,18;-0,20;1,08;0,31
6.297;0,14;1,07;-0,04;-0,16;0,18;-0,20;1,08;0,31
6.346;0,13;1,08;-0,03;-0,16;0,18;-0,20;1,09;0,31
6.35;0,13;1,08;-0,03;0,17;-0,13;-0,29;1,09;0,36
6.396;0,12;1,09;-0,01;0,17;-0,13;-0,29;1,10;0,36
6.418;0,12;1,09;-0,01;0,07;-0,20;-0,21;1,10;0,30
6.446;0,10;1,10;-0,02;0,07;-0,20;-0,21;1,10;0,30
6.488;0,10;1,10;-0,02;-0,20;-0,16;-0,09;1,10;0,27
6.496;0,11;1,08;-0,02;-0,20;-0,16;-0,09;1,09;0,27
6.546;0,11;1,08;-0,04;-0,20;-0,16;-0,09;1,09;0,27
6.56;0,11;1,08;-0,04;-0,15;-0,32;-0,06;1,09;0,36
6.596;0,11;1,09;-0,03;-0,15;-0,32;-0,06;1,10;0,36
6.628;0,11;1,09;-0,03;0,17;-0,29;-0,04;1,10;0,34
6.646;0,11;1,08;-0,02;0,17;-0,29;-0,04;1,09;0,34
6.696;0,10;1,09;-0,05;0,17;-0,29;-0,04;1,10;0,34
6.701;0,10;1,09;-0,05;0,00;-0,34;-0,06;1,10;0,35
6.746;0,09;1,08;-0,03;0,00;-0,34;-0,06;1,08;0,35
6.768;0,09;1,08;-0,03;-0,12;-0,32;-0,02;1,08;0,34
6.796;0,10;1,07;-0,04;-0,12;-0,32;-0,02;1,08;0,34
6.838;0,10;1,07;-0,04;0,05;-0,12;-0,11;1,08;0,17
6.846;0,10;1,09;-0,04;0,05;-0,12;-0,11;1,10;0,17
6.896;0,08;1,09;-0,02;0,05;-0,12;-0,11;1,09;0,17
6.908;0,08;1,09;-0,02;0,01;0,20;-0,06;1,09;0,21
6.946;0,06;1,09;-0,01;0,01;0,20;-0,06;1,09;0,21
6.988;0,06;1,09;-0,01;-0,12;0,20;-0,17;1,09;0,29
6.996;0,08;1,09;-0,02;-0,12;0,20;-0,17;1,09;0,29
7.046;0,08;1,09;-0,03;-0,12;0,20;-0,17;1,09;0,29
7.048;0,08;1,09;-0,03;-0,08;0,24;-0,09;1,09;0,27
7.096;0,05;1,08;-0,02;-0,08;0,24;-0,09;1,08;0,27
7.118;0,05;1,08;-0,02;-0,02;0,29;-0,02;1,08;0,29
7.146;0,06;1,09;-0,02;-0,02;0,29;-0,02;1,09;0,29
7.196;0,05;1,08;-0,01;-0,02;0,29;-0,02;1,08;0,29
7.198;0,05;1,08;-0,01;-0,04;0,23;-0,01;1,08;0,23
7.246;0,05;1,08;0,00;-0,04;0,23;-0,01;1,08;0,23
7.268;0,05;1,08;0,00;-0,04;0,02;-0,15;1,08;0,16
7.296;0,04;1,08;-0,02;-0,04;0,02;-0,15;1,08;0,16
7.338;0,04;1,08;-0,02;-0,07;0,02;-0,26;1,08;0,27
7.346;0,04;1,07;-0,02;-0,07;0,02;-0,26;1,07;0,27
7.396;0,00;1,08;0,01;-0,07;0,02;-0,26;1,08;0,27
7.408;0,00;1,08;0,01;-0,03;-0,15;-0,68;1,08;0,70
7.446;-0,02;1,11;-0,01;-0,03;-0,15;-0,68;1,11;0,70
7.486;-0,02;1,11;-0,01;0,10;-0,21;-0,28;1,11;0,36
7.501;-0,01;1,11;-0,03;0,10;-0,21;-0,28;1,11;0,36
7.546;0,00;1,11;-0,03;0,10;-0,21;-0,28;1,11;0,36
7.548;0,00;1,11;-0,03;0,23;-0,24;0,23;1,11;0,40
7.596;0,01;1,10;-0,03;0,23;-0,24;0,23;1,10;0,40
7.617;0,01;1,10;-0,03;0,32;0,16;0,46;1,10;0,58
7.646;0,00;1,08;-0,01;0,32;0,16;0,46;1,08;0,58
7.691;0,00;1,08;-0,01;-0,06;0,15;0,03;1,08;0,16
7.696;-0,01;1,08;-0,01;-0,06;0,15;0,03;1,08;0,16
7.746;0,04;1,10;-0,01;-0,06;0,15;0,03;1,10;0,16
7.761;0,04;1,10;-0,01;-0,27;0,04;0,05;1,10;0,28
7.801;0,04;1,09;-0,02;-0,27;0,04;0,05;1,09;0,28
7.827;0,04;1,09;-0,02;-0,27;-0,13;0,11;1,09;0,32
7.846;0,04;1,10;-0,03;-0,27;-0,13;0,11;1,10;0,32
7.896;0,03;1,09;-0,03;-0,27;-0,13;0,11;1,09;0,32
7.899;0,03;1,09;-0,03;-0,12;0,02;0,27;1,09;0,30
7.946;0,02;1,08;0,00;-0,12;0,02;0,27;1,08;0,30
7.968;0,02;1,08;0,00;-0,02;0,06;-0,05;1,08;0,08
7.996;0,03;1,09;0,01;-0,02;0,06;-0,05;1,09;0,08
8.038;0,03;1,09;0,01;-0,15;-0,25;-0,12;1,09;0,32
8.046;0,04;1,10;0,00;-0,15;-0,25;-0,12;1,10;0,32
8.099;0,02;1,10;-0,02;-0,15;-0,25;-0,12;1,10;0,32
8.109;0,02;1,10;-0,02;0,09;-0,28;0,03;1,10;0,30
8.146;0,02;1,09;-0,03;0,09;-0,28;0,03;1,09;0,30
8.183;0,02;1,09;-0,03;0,17;-0,04;0,10;1,09;0,20
8.198;0,02;1,09;-0,03;0,17;-0,04;0,10;1,09;0,20
8.246;0,02;1,08;-0,02;0,17;-0,04;0,10;1,08;0,20
8.249;0,02;1,08;-0,02;0,07;0,13;-0,01;1,08;0,15
8.296;0,04;1,09;-0,01;0,07;0,13;-0,01;1,09;0,15
8.318;0,04;1,09;-0,01;0,02;-0,11;0,01;1,09;0,11
8.346;0,04;1,09;-0,02;0,02;-0,11;0,01;1,09;0,11
8.394;0,04;1,09;-0,02;0,00;-0,33;-0,01;1,09;0,33
8.396;0,03;1,08;-0,02;0,00;-0,33;-0,01;1,08;0,33
8.446;0,04;1,09;-0,02;0,00;-0,33;-0,01;1,09;0,33
8.458;0,04;1,09;-0,02;0,04;-0,22;-0,08;1,09;0,24
8.506;0,04;1,09;-0,02;0,04;-0,22;-0,08;1,09;0,24
8.528;0,04;1,09;-0,02;0,04;-0,01;0,00;1,09;0,04
8.546;0,05;1,09;-0,02;0,04;-0,01;0,00;1,09;0,04
8.596;0,04;1,09;-0,02;0,04;-0,01;0,00;1,09;0,04
8.599;0,04;1,09;-0,02;-0,01;0,17;-0,02;1,09;0,17
8.646;0,04;1,09;-0,03;-0,01;0,17;-0,02;1,09;0,17
8.667;0,04;1,09;-0,03;-0,08;0,26;-0,02;1,09;0,27
8.701;0,03;1,08;-0,02;-0,08;0,26;-0,02;1,08;0,27
8.755;0,03;1,08;-0,02;-0,17;0,14;-0,10;1,08;0,24
8.756;0,04;1,09;-0,01;-0,17;0,14;-0,10;1,09;0,24
8.8;0,03;1,09;0,01;-0,17;0,14;-0,10;1,09;0,24
8.811;0,03;1,09;0,01;0,01;-0,03;-0,03;1,09;0,04
8.846;0,03;1,09;0,01;0,01;-0,03;-0,03;1,09;0,04
8.877;0,03;1,09;0,01;0,03;0,12;0,00;1,09;0,12
8.901;0,02;1,09;0,00;0,03;0,12;0,00;1,09;0,12
8.946;0,00;1,08;-0,01;0,03;0,12;0,00;1,08;0,12
8.949;0,00;1,08;-0,01;-0,21;0,14;-0,06;1,08;0,26
9.001;0,03;1,10;-0,02;-0,21;0,14;-0,06;1,10;0,26
9.017;0,03;1,10;-0,02;0,06;0,46;0,13;1,10;0,48
9.046;0,04;1,10;0,01;0,06;0,46;0,13;1,10;0,48
9.088;0,04;1,10;0,01;0,13;-0,05;0,17;1,10;0,22
9.1;0,04;1,08;0,02;0,13;-0,05;0,17;1,08;0,22
9.146;0,04;1,09;0,01;0,13;-0,05;0,17;1,09;0,22
9.158;0,04;1,09;0,01;0,17;-0,50;-0,06;1,09;0,53
9.205;0,03;1,08;-0,01;0,17;-0,50;-0,06;1,08;0,53
9.228;0,03;1,08;-0,01;-0,14;-0,19;-0,17;1,08;0,29
9.246;0,04;1,10;-0,03;-0,14;-0,19;-0,17;1,10;0,29
9.301;0,04;1,09;-0,03;-0,14;-0,19;-0,17;1,09;0,29
9.303;0,04;1,09;-0,03;-0,15;0,14;0,06;1,09;0,21
9.346;0,03;1,09;-0,01;-0,15;0,14;0,06;1,09;0,21
9.368;0,03;1,09;-0,01;0,27;-0,13;0,06;1,09;0,31
9.403;0,02;1,08;-0,01;0,27;-0,13;0,06;1,08;0,31
9.438;0,02;1,08;-0,01;0,19;-0,20;-0,13;1,08;0,30
9.446;0,02;1,08;-0,01;0,19;-0,20;-0,13;1,08;0,30
9.501;0,02;1,09;-0,02;0,19;-0,20;-0,13;1,09;0,30
9.518;0,02;1,09;-0,02;-0,15;0,10;-0,23;1,09;0,29
9.546;0,04;1,10;-0,03;-0,15;0,10;-0,23;1,10;0,29
9.578;0,04;1,10;-0,03;-0,15;0,27;0,07;1,10;0,32
9.596;0,02;1,09;-0,04;-0,15;0,27;0,07;1,09;0,32
9.646;0,02;1,09;-0,05;-0,15;0,27;0,07;1,09;0,32
9.649;0,02;1,09;-0,05;0,30;-0,03;0,14;1,09;0,33
9.701;0,03;1,08;-0,03;0,30;-0,03;0,14;1,08;0,33
9.718;0,03;1,08;-0,03;0,31;-0,11;0,01;1,08;0,33
9.746;0,03;1,09;-0,04;0,31;-0,11;0,01;1,09;0,33
9.788;0,03;1,09;-0,04;-0,07;0,10;0,03;1,09;0,13
9.803;0,02;1,09;-0,04;-0,07;0,10;0,03;1,09;0,13
9.846;0,00;1,10;0,02;-0,07;0,10;0,03;1,10;0,13
9.859;0,00;1,10;0,02;-0,28;-0,01;0,03;1,10;0,28
9.901;0,02;1,09;-0,04;-0,28;-0,01;0,03;1,09;0,28
9.928;0,02;1,09;-0,04;0,03;0,31;-0,02;1,09;0,31
9.946;0,03;1,08;-0,04;0,03;0,31;-0,02;1,08;0,31
10.001;-0,01;1,09;0,01;0,03;0,31;-0,02;1,09;0,31
10.003;-0,01;1,09;0,01;0,07;-0,07;-0,04;1,09;0,11
10.046;0,03;1,10;-0,06;0,07;-0,07;-0,04;1,10;0,11
10.068;0,03;1,10;-0,06;-0,11;-0,02;-0,02;1,10;0,11
10.105;0,01;1,09;-0,06;-0,11;-0,02;-0,02;1,09;0,11
10.139;0,01;1,09;-0,06;0,12;0,08;-0,08;1,09;0,16
10.146;0,02;1,10;-0,03;0,12;0,08;-0,08;1,10;0,16
10.202;0,01;1,10;-0,01;0,12;0,08;-0,08;1,10;0,16
10.209;0,01;1,10;-0,01;-0,06;-0,10;0,06;1,10;0,13
10.246;0,01;1,09;-0,05;-0,06;-0,10;0,06;1,09;0,13
10.278;0,01;1,09;-0,05;-0,01;0,11;0,01;1,09;0,11
10.296;0,02;1,09;-0,03;-0,01;0,11;0,01;1,09;0,11
10.346;0,02;1,09;-0,03;-0,01;0,11;0,01;1,09;0,11
10.348;0,02;1,09;-0,03;0,01;-0,07;-0,03;1,09;0,08
10.399;0,02;1,09;-0,03;0,01;-0,07;-0,03;1,09;0,08
10.417;0,02;1,09;-0,03;-0,05;-0,13;0,05;1,09;0,15
10.446;0,02;1,09;-0,04;-0,05;-0,13;0,05;1,09;0,15
10.487;0,02;1,09;-0,04;-0,01;0,01;0,05;1,09;0,05
10.499;0,03;1,09;-0,04;-0,01;0,01;0,05;1,09;0,05
10.546;0,03;1,09;-0,03;-0,01;0,01;0,05;1,09;0,05
10.559;0,03;1,09;-0,03;-0,03;-0,05;0,01;1,09;0,06
10.609;0,04;1,09;-0,04;-0,03;-0,05;0,01;1,09;0,06
