time;exp1_acel;exp1_gir;exp2_acel;exp2_gir;exp3_acel;exp3_gir;exp4_acel;exp4_gir;exp5_acel;exp5_gir;exp6_acel;exp6_gir;;
1.622;1,05;5,84;0,53;7,28;1,37;7,07;0,36;5,70;0,56;5,69;0,20;5,24;;
1.649;1,11;5,84;0,97;7,28;1,37;7,55;0,36;7,61;0,56;6,50;0,83;5,24;;
1.691;1,11;5,92;0,97;7,31;1,48;7,55;1,19;7,61;1,22;6,50;0,83;6,13;;
1.699;1,42;5,92;1,19;7,31;1,48;7,62;1,68;7,61;1,22;6,57;1,12;6,13;;
1.749;1,56;5,92;1,64;7,31;1,96;7,62;1,68;8,39;1,56;6,57;1,12;6,23;;
1.761;1,56;6,02;1,64;7,39;2,17;7,62;2,13;8,39;1,70;6,57;1,44;6,23;;
1.799;1,75;6,02;2,00;7,39;2,17;7,69;2,13;8,47;1,70;6,66;1,60;6,23;;
1.839;1,75;6,08;2,00;7,47;2,42;7,69;2,55;8,47;1,93;6,66;1,60;6,32;;
1.853;1,82;6,08;2,20;7,47;2,42;7,76;2,55;8,53;1,93;6,72;1,82;6,32;;
1.906;1,91;6,08;2,37;7,47;2,44;7,76;2,70;8,53;2,04;6,72;1,82;6,39;;
1.911;1,91;6,11;2,37;7,53;2,46;7,76;2,80;8,53;2,12;6,72;1,97;6,39;;
1.949;1,89;6,11;2,39;7,53;2,46;7,75;2,80;8,55;2,12;6,76;2,00;6,39;;
1.991;1,89;6,07;2,39;7,53;2,39;7,75;2,74;8,55;2,11;6,76;2,00;6,43;;
2.0;1,85;6,07;2,34;7,53;2,39;7,66;2,74;8,51;2,11;6,72;1,99;6,43;;
2.049;1,72;6,07;2,34;7,47;2,13;7,66;2,54;8,51;2,02;6,72;1,99;6,41;;
2.052;1,72;5,99;2,25;7,47;2,13;7,53;2,34;8,51;2,02;6,64;1,95;6,41;;
2.1;1,62;5,99;1,99;7,47;1,76;7,53;2,34;8,38;1,93;6,64;1,95;6,32;;
2.121;1,62;5,87;1,99;7,33;1,55;7,53;1,88;8,38;1,69;6,64;1,80;6,32;;
2.149;1,41;5,87;1,81;7,33;1,55;7,37;1,88;8,23;1,69;6,51;1,69;6,32;;
2.194;1,41;5,71;1,81;7,17;1,10;7,37;1,63;8,23;1,39;6,51;1,69;6,19;;
2.208;1,27;5,71;1,41;7,17;1,10;7,21;1,63;8,07;1,39;6,35;1,43;6,19;;
2.249;1,03;5,71;0,97;7,17;0,86;7,21;1,08;8,07;1,23;6,35;1,43;6,05;;
2.261;1,03;5,55;0,97;7,00;0,42;7,21;0,64;8,07;0,88;6,35;1,30;6,05;;
2.303;0,90;5,55;0,74;7,00;0,42;7,09;0,64;7,95;0,88;6,19;1,00;6,05;;
2.331;0,90;5,40;0,74;6,88;0,27;7,09;0,57;7,95;0,70;6,19;1,00;5,89;;
2.349;0,65;5,40;0,32;6,88;0,27;7,02;0,57;7,89;0,70;6,05;0,71;5,89;;
2.4;0,44;5,40;0,18;6,88;0,46;7,02;0,84;7,89;0,37;6,05;0,71;5,74;;
2.403;0,44;5,27;0,18;6,80;0,46;7,02;1,07;7,89;0,37;5,95;0,55;5,74;;
2.449;0,36;5,27;0,42;6,80;0,89;7,02;1,07;7,91;0,22;5,95;0,55;5,63;;
2.471;0,36;5,17;0,42;6,78;1,10;7,02;1,58;7,91;0,17;5,95;0,30;5,63;;
2.499;0,31;5,17;0,63;6,78;1,10;7,07;1,58;7,98;0,17;5,92;0,22;5,63;;
2.541;0,31;5,14;0,63;6,81;1,53;7,07;1,81;7,98;0,47;5,92;0,22;5,55;;
2.549;0,35;5,14;1,06;6,81;1,53;7,16;1,81;8,06;0,47;5,92;0,29;5,55;;
2.599;0,52;5,14;1,45;6,81;1,71;7,16;2,24;8,06;0,63;5,92;0,29;5,52;;
2.611;0,52;5,14;1,45;6,88;2,03;7,16;2,52;8,06;0,95;5,92;0,40;5,52;;
2.649;0,61;5,14;1,62;6,88;2,03;7,24;2,52;8,14;0,95;5,97;0,66;5,52;;
2.689;0,61;5,18;1,62;6,98;2,15;7,24;2,61;8,14;1,11;5,97;0,66;5,54;;
2.703;0,83;5,18;1,92;6,98;2,15;7,30;2,61;8,16;1,11;6,03;0,80;5,54;;
2.749;1,06;5,18;2,05;6,98;2,29;7,30;2,61;8,16;1,40;6,03;0,80;5,61;;
2.754;1,06;5,27;2,05;7,06;2,29;7,31;2,53;8,16;1,40;6,13;1,07;5,61;;
2.808;1,18;5,27;2,21;7,06;2,31;7,31;2,53;8,11;1,53;6,13;1,07;5,69;;
2.821;1,18;5,36;2,21;7,09;2,24;7,31;2,27;8,11;1,75;6,13;1,32;5,69;;
2.849;1,39;5,36;2,23;7,09;2,24;7,26;2,27;8,00;1,75;6,21;1,44;5,69;;
2.908;1,39;5,45;2,23;7,06;2,02;7,26;2,08;8,00;1,84;6,21;1,44;5,78;;
2.909;1,48;5,45;2,18;7,06;2,02;7,15;2,08;7,84;1,84;6,26;1,64;5,78;;
2.949;1,64;5,45;2,09;7,06;1,88;7,15;1,62;7,84;1,95;6,26;1,64;5,86;;
2.961;1,64;5,52;2,09;6,97;1,51;7,15;1,38;7,84;1,95;6,26;1,72;5,86;;
3.0;1,69;5,52;1,87;6,97;1,51;7,00;1,38;7,67;1,95;6,25;1,82;5,86;;
3.033;1,69;5,54;1,87;6,84;1,32;7,00;0,86;7,67;1,91;6,25;1,82;5,89;;
3.049;1,75;5,54;1,55;6,84;1,32;6,82;0,86;7,54;1,91;6,19;1,85;5,89;;
3.1;1,76;5,54;1,37;6,84;0,90;6,82;0,46;7,54;1,78;6,19;1,85;5,89;;
3.103;1,76;5,54;1,37;6,69;0,68;6,82;0,41;7,54;1,78;6,09;1,82;5,89;;
3.149;1,71;5,54;0,99;6,69;0,68;6,67;0,41;7,46;1,69;6,09;1,82;5,84;;
3.171;1,71;5,47;0,99;6,54;0,29;6,67;0,72;7,46;1,46;6,09;1,74;5,84;;
3.199;1,60;5,47;0,78;6,54;0,29;6,56;0,72;7,46;1,46;5,96;1,66;5,84;;
3.241;1,60;5,38;0,78;6,39;0,11;6,56;0,95;7,46;1,32;5,96;1,66;5,74;;
3.249;1,54;5,38;0,40;6,39;0,11;6,53;0,95;7,50;1,32;5,80;1,47;5,74;;
3.299;1,36;5,38;0,22;6,39;0,36;6,53;1,42;7,50;1,05;5,80;1,47;5,61;;
3.311;1,36;5,24;0,22;6,30;0,76;6,53;1,64;7,50;0,77;5,80;1,37;5,61;;
3.349;1,27;5,24;0,16;6,30;0,76;6,55;1,64;7,58;0,77;5,64;1,14;5,61;;
3.382;1,27;5,09;0,16;6,27;0,95;6,55;2,04;7,58;0,63;5,64;1,14;5,44;;
3.408;1,06;5,09;0,35;6,27;0,95;6,62;2,04;7,68;0,63;5,50;1,01;5,44;;
3.449;0,97;5,09;0,72;6,27;1,33;6,62;2,19;7,68;0,40;5,50;1,01;5,29;;
