time;exp1_acel;exp1_gir;exp2_acel;exp2_gir;exp3_acel;exp3_gir;exp4_acel;exp4_gir;exp5_acel;exp5_gir;exp6_acel;exp6_gir;;
7.302;0,90;3,13;1,61;4,97;1,10;4,86;1,72;5,73;0,84;3,64;1,38;3,99;;
7.35;0,94;3,13;1,58;4,97;1,10;4,69;1,72;5,79;0,84;3,50;1,35;3,99;;
7.371;0,94;3,22;1,58;4,91;0,94;4,69;1,81;5,79;0,79;3,50;1,35;3,92;;
7.399;1,01;3,22;1,55;4,91;0,94;4,55;1,81;5,80;0,79;3,37;1,32;3,92;;
7.449;1,05;3,22;1,46;4,91;0,78;4,55;1,83;5,80;0,77;3,37;1,32;3,85;;
7.456;1,05;3,32;1,46;4,82;0,73;4,55;1,79;5,80;0,74;3,37;1,27;3,85;;
7.499;1,11;3,32;1,39;4,82;0,73;4,40;1,79;5,77;0,74;3,26;1,27;3,72;;
7.511;1,11;3,40;1,39;4,70;0,63;4,40;1,75;5,77;0,72;3,26;1,23;3,72;;
7.554;1,16;3,40;1,26;4,70;0,63;4,28;1,75;5,69;0,72;3,20;1,16;3,72;;
7.581;1,16;3,47;1,26;4,55;0,59;4,28;1,62;5,69;0,71;3,20;1,16;3,60;;
7.6;1,22;3,47;1,12;4,55;0,54;4,28;1,44;5,69;0,71;3,20;1,12;3,60;;
7.651;1,24;3,47;1,06;4,55;0,54;4,20;1,44;5,56;0,71;3,15;1,12;3,45;;
7.659;1,24;3,51;1,06;4,38;0,53;4,20;1,33;5,56;0,69;3,15;1,06;3,45;;
7.699;1,29;3,51;0,93;4,38;0,53;4,15;1,33;5,41;0,69;3,13;1,00;3,45;;
7.721;1,29;3,53;0,93;4,23;0,55;4,15;1,11;5,41;0,70;3,13;1,00;3,29;;
7.751;1,31;3,53;0,87;4,23;0,55;4,15;1,11;5,26;0,70;3,15;0,97;3,29;;
7.791;1,31;3,53;0,77;4,23;0,59;4,15;1,00;5,26;0,71;3,15;0,97;3,15;;
7.799;1,31;3,51;0,77;4,08;0,63;4,15;0,79;5,26;0,72;3,15;0,93;3,15;;
7.849;1,30;3,51;0,73;4,08;0,63;4,18;0,79;5,09;0,72;3,20;0,93;2,99;;
7.861;1,30;3,46;0,73;3,96;0,73;4,18;0,69;5,09;0,76;3,20;0,91;2,99;;
7.899;1,29;3,46;0,67;3,96;0,73;4,24;0,69;4,97;0,76;3,26;0,90;2,99;;
7.946;1,29;3,38;0,67;3,86;0,80;4,24;0,53;4,97;0,78;3,26;0,90;2,85;;
7.952;1,25;3,38;0,62;3,86;0,93;4,24;0,41;4,97;0,84;3,26;0,86;2,85;;
7.999;1,24;3,38;0,62;3,86;0,93;4,32;0,41;4,87;0,84;3,34;0,86;2,71;;
8.003;1,24;3,29;0,62;3,79;1,00;4,32;0,39;4,87;0,88;3,34;0,87;2,71;;
8.049;1,19;3,29;0,60;3,79;1,00;4,41;0,39;4,81;0,88;3,43;0,86;2,71;;
8.071;1,19;3,17;0,60;3,76;1,15;4,41;0,42;4,81;0,95;3,43;0,86;2,60;;
8.099;1,14;3,17;0,60;3,76;1,15;4,50;0,42;4,80;0,95;3,52;0,84;2,60;;
8.149;1,11;3,17;0,63;3,76;1,22;4,50;0,47;4,80;1,00;3,52;0,84;2,51;;
8.155;1,11;3,03;0,63;3,76;1,35;4,50;0,63;4,80;1,09;3,52;0,83;2,51;;
8.199;1,07;3,03;0,66;3,76;1,35;4,59;0,63;4,82;1,09;3,61;0,83;2,45;;
8.211;1,07;2,89;0,66;3,80;1,45;4,59;0,71;4,82;1,13;3,61;0,82;2,45;;
8.249;1,05;2,89;0,71;3,80;1,45;4,65;0,71;4,88;1,13;3,68;0,81;2,45;;
8.281;1,05;2,73;0,71;3,85;1,49;4,65;0,90;4,88;1,20;3,68;0,81;2,41;;
8.3;1,02;2,73;0,75;3,85;1,53;4,65;1,00;4,88;1,28;3,68;0,79;2,41;;
8.352;1,00;2,73;0,86;3,85;1,53;4,66;1,00;4,95;1,28;3,75;0,79;2,40;;
8.353;1,00;2,57;0,86;3,94;1,54;4,66;1,19;4,95;1,31;3,75;0,80;2,40;;
8.399;0,98;2,57;0,98;3,94;1,54;4,63;1,19;5,05;1,31;3,78;0,78;2,40;;
8.421;0,98;2,42;0,98;4,04;1,51;4,63;1,37;5,05;1,34;3,78;0,78;2,40;;
8.449;0,97;2,42;1,02;4,04;1,48;4,63;1,37;5,14;1,34;3,78;0,77;2,40;;
8.491;0,95;2,42;1,15;4,04;1,48;4,57;1,45;5,14;1,35;3,78;0,77;2,42;;
8.499;0,95;2,25;1,15;4,13;1,42;4,57;1,58;5,14;1,35;3,78;0,77;2,42;;
8.549;0,95;2,25;1,21;4,13;1,42;4,48;1,58;5,21;1,35;3,76;0,77;2,46;;
8.561;0,95;2,12;1,21;4,21;1,37;4,48;1,62;5,21;1,34;3,76;0,77;2,46;;
8.599;0,93;2,12;1,31;4,21;1,37;4,34;1,62;5,23;1,34;3,70;0,78;2,46;;
8.645;0,93;1,98;1,31;4,28;1,25;4,34;1,67;5,23;1,31;3,70;0,78;2,52;;
8.649;0,94;1,98;1,35;4,28;1,14;4,34;1,67;5,23;1,29;3,70;0,79;2,52;;
8.699;0,93;1,98;1,42;4,28;1,14;4,21;1,67;5,22;1,29;3,61;0,79;2,58;;
8.781;0,93;1,83;1,42;4,32;1,09;4,21;1,63;5,22;1,23;3,61;0,81;2,58;;
8.782;0,93;1,83;1,44;4,32;1,09;4,05;1,63;5,15;1,23;3,49;0,82;2,58;;
8.782;0,93;1,73;1,45;4,32;0,97;4,05;1,58;5,15;1,18;3,49;0,82;2,65;;
8.827;0,94;1,73;1,45;4,30;0,92;4,05;1,58;5,06;1,18;3,35;0,86;2,65;;
8.841;0,93;1,73;1,44;4,30;0,92;3,89;1,47;5,06;1,14;3,35;0,86;2,73;;
8.849;0,93;1,63;1,44;4,24;0,84;3,89;1,32;5,06;1,09;3,35;0,88;2,73;;
8.899;0,93;1,63;1,40;4,24;0,84;3,74;1,32;4,92;1,09;3,20;0,88;2,83;;
8.911;0,93;1,55;1,36;4,24;0,81;3,74;1,25;4,92;1,06;3,20;0,93;2,83;;
8.96;0,92;1,55;1,36;4,15;0,81;3,60;1,25;4,78;1,06;3,05;0,99;2,83;;
8.981;0,91;1,55;1,28;4,15;0,75;3,60;1,08;4,78;1,01;3,05;0,99;2,92;;
8.999;0,91;1,49;1,28;4,00;0,72;3,60;1,00;4,78;1,00;3,05;1,01;2,92;;
9.059;0,91;1,49;1,23;4,00;0,72;3,49;1,00;4,61;1,00;2,89;1,01;3,01;;
9.061;0,91;1,46;1,14;4,00;0,71;3,49;0,85;4,61;0,96;2,89;1,08;3,01;;
9.099;0,91;1,46;1,14;3,86;0,71;3,42;0,85;4,47;0,96;2,73;1,11;3,01;;
9.121;0,91;1,43;1,05;3,86;0,68;3,42;0,78;4,47;0,93;2,73;1,11;3,10;;
9.156;0,89;1,43;1,05;3,70;0,68;3,42;0,78;4,33;0,93;2,59;1,16;3,10;;
9.191;0,90;1,43;1,01;3,70;0,68;3,37;0,67;4,33;0,93;2,59;1,16;3,16;;
9.199;0,90;1,41;1,01;3,55;0,67;3,37;0,59;4,33;0,91;2,59;1,19;3,16;;
9.26;0,88;1,41;0,94;3,55;0,67;3,35;0,59;4,21;0,91;2,45;1,23;3,16;;
9.263;0,88;1,40;0,91;3,55;0,67;3,35;0,57;4,21;0,91;2,45;1,23;3,20;;
9.299;0,87;1,40;0,91;3,38;0,67;3,36;0,57;4,14;0,91;2,33;1,24;3,20;;
9.331;0,86;1,40;0,86;3,38;0,69;3,36;0,54;4,14;0,90;2,33;1,24;3,20;;
9.358;0,86;1,42;0,86;3,23;0,69;3,36;0,53;4,14;0,89;2,33;1,25;3,20;;
9.4;0,86;1,42;0,84;3,23;0,69;3,40;0,53;4,10;0,89;2,23;1,25;3,19;;
9.402;0,86;1,44;0,82;3,23;0,73;3,40;0,56;4,10;0,89;2,23;1,25;3,19;;
9.463;0,85;1,44;0,82;3,10;0,73;3,45;0,56;4,10;0,89;2,15;1,25;3,19;;
9.472;0,85;1,47;0,79;3,10;0,79;3,45;0,59;4,10;0,87;2,15;1,25;3,15;;
9.499;0,84;1,47;0,79;3,00;0,82;3,45;0,68;4,10;0,87;2,08;1,23;3,15;;
9.541;0,83;1,47;0,78;3,00;0,82;3,52;0,68;4,14;0,86;2,08;1,23;3,06;;
9.559;0,83;1,52;0,78;2,93;0,91;3,52;0,73;4,14;0,86;2,08;1,21;3,06;;
9.599;0,83;1,52;0,77;2,93;0,91;3,61;0,73;4,21;0,86;2,03;1,19;3,06;;
9.611;0,83;1,56;0,76;2,93;0,95;3,61;0,85;4,21;0,86;2,03;1,19;2,96;;
9.657;0,82;1,56;0,76;2,87;0,95;3,70;0,85;4,29;0,86;1,99;1,17;2,96;;
9.681;0,82;1,56;0,74;2,87;1,05;3,70;0,99;4,29;0,84;1,99;1,17;2,85;;
9.7;0,82;1,63;0,74;2,85;1,10;3,70;1,06;4,29;0,83;1,99;1,13;2,85;;
9.757;0,81;1,63;0,74;2,85;1,10;3,79;1,06;4,37;0,83;1,98;1,13;2,71;;
9.759;0,81;1,70;0,72;2,85;1,19;3,79;1,19;4,37;0,82;1,98;1,12;2,71;;
9.799;0,81;1,70;0,72;2,86;1,19;3,88;1,19;4,47;0,82;1,98;1,08;2,71;;
9.824;0,81;1,78;0,74;2,86;1,24;3,88;1,26;4,47;0,82;1,98;1,08;2,57;;
9.861;0,82;1,78;0,74;2,88;1,31;3,88;1,38;4,47;0,82;2,00;1,05;2,57;;
9.891;0,83;1,78;0,73;2,88;1,31;3,94;1,38;4,53;0,82;2,00;1,05;2,43;;
9.9;0,83;1,85;0,73;2,93;1,36;3,94;1,42;4,53;0,81;2,00;1,04;2,43;;
9.957;0,82;1,85;0,74;2,93;1,36;3,98;1,42;4,59;0,81;2,03;1,03;2,43;;
9.962;0,82;1,94;0,77;2,93;1,38;3,98;1,50;4,59;0,80;2,03;1,03;2,25;;
9.999;0,85;1,94;0,77;2,99;1,38;3,96;1,50;4,61;0,80;2,08;1,01;2,25;;
10.032;0,85;1,94;0,80;2,99;1,39;3,96;1,52;4,61;0,80;2,08;1,01;2,10;;
10.05;0,85;2,03;0,80;3,07;1,38;3,96;1,52;4,61;0,79;2,08;1,00;2,10;;
10.099;0,88;2,03;0,82;3,07;1,38;3,92;1,52;4,59;0,79;2,14;1,00;2,10;;
10.102;0,88;2,11;0,88;3,07;1,35;3,92;1,48;4,59;0,80;2,14;1,00;1,95;;
10.16;0,89;2,11;0,88;3,15;1,35;3,85;1,48;4,52;0,80;2,21;0,99;1,95;;
10.171;0,89;2,20;0,92;3,15;1,34;3,85;1,45;4,52;0,81;2,21;0,99;1,81;;
10.199;0,93;2,20;0,92;3,23;1,28;3,85;1,37;4,52;0,81;2,29;0,98;1,81;;
10.242;0,96;2,20;0,99;3,23;1,28;3,75;1,37;4,42;0,82;2,29;0,98;1,67;;
10.265;0,96;2,29;0,99;3,33;1,21;3,75;1,31;4,42;0,83;2,29;0,98;1,67;;
10.299;0,98;2,29;1,03;3,33;1,21;3,62;1,31;4,30;0,83;2,38;0,98;1,67;;
10.311;0,98;2,38;1,10;3,33;1,18;3,62;1,20;4,30;0,87;2,38;0,98;1,53;;
10.361;1,02;2,38;1,10;3,42;1,18;3,48;1,20;4,15;0,87;2,48;0,98;1,53;;
10.382;1,04;2,38;1,17;3,42;1,10;3,48;1,16;4,15;0,91;2,48;0,98;1,40;;
10.399;1,04;2,46;1,17;3,49;1,07;3,48;1,04;4,15;0,92;2,48;0,98;1,40;;
10.459;1,07;2,46;1,20;3,49;1,07;3,34;1,04;3,99;0,92;2,58;0,97;1,40;;
10.462;1,07;2,53;1,26;3,49;1,01;3,34;0,96;3,99;0,98;2,58;0,97;1,28;;
10.499;1,10;2,53;1,26;3,55;1,01;3,18;0,96;3,84;0,98;2,66;0,98;1,28;;
10.521;1,10;2,57;1,28;3,55;0,99;3,18;0,91;3,84;1,00;2,66;0,98;1,17;;
10.561;1,13;2,57;1,28;3,58;0,94;3,18;0,83;3,84;1,00;2,75;0,98;1,17;;
10.591;1,15;2,57;1,32;3,58;0,94;3,02;0,83;3,69;1,05;2,75;0,98;1,06;;
10.599;1,15;2,60;1,32;3,56;0,93;3,02;0,81;3,69;1,07;2,75;0,98;1,06;;
10.656;1,17;2,60;1,32;3,56;0,93;2,88;0,81;3,55;1,07;2,83;0,97;1,06;;
10.669;1,17;2,60;1,32;3,56;0,90;2,88;0,76;3,55;1,12;2,83;0,97;0,97;;
10.699;1,18;2,60;1,32;3,52;0,90;2,73;0,76;3,44;1,12;2,88;0,98;0,97;;
10.732;1,17;2,60;1,29;3,52;0,88;2,73;0,73;3,44;1,15;2,88;0,98;0,88;;
10.751;1,17;2,57;1,29;3,45;0,87;2,73;0,72;3,44;1,18;2,88;0,97;0,88;;
10.805;1,17;2,57;1,27;3,45;0,87;2,61;0,72;3,36;1,18;2,90;0,97;0,88;;
10.809;1,17;2,53;1,23;3,45;0,86;2,61;0,70;3,36;1,20;2,90;0,97;0,80;;
10.866;1,17;2,53;1,23;3,35;0,86;2,50;0,70;3,30;1,20;2,92;0,97;0,80;;
10.871;1,17;2,46;1,20;3,35;0,86;2,50;0,69;3,30;1,21;2,92;0,97;0,73;;
10.899;1,16;2,46;1,20;3,22;0,84;2,50;0,68;3,30;1,21;2,89;0,96;0,73;;
10.941;1,16;2,46;1,15;3,22;0,84;2,42;0,68;3,27;1,21;2,89;0,96;0,66;;
10.964;1,16;2,38;1,13;3,22;0,83;2,42;0,69;3,27;1,21;2,89;0,97;0,66;;
10.999;1,13;2,38;1,13;3,07;0,83;2,36;0,69;3,28;1,21;2,85;0,97;0,66;;
11.011;1,13;2,27;1,08;3,07;0,82;2,36;0,70;3,28;1,20;2,85;0,97;0,60;;
11.061;1,11;2,27;1,08;2,94;0,82;2,31;0,70;3,29;1,20;2,78;0,96;0,60;;
11.082;1,10;2,27;1,06;2,94;0,81;2,31;0,71;3,29;1,19;2,78;0,96;0,55;;
11.102;1,10;2,15;1,06;2,78;0,80;2,31;0,74;3,29;1,17;2,78;0,96;0,55;;
11.155;1,09;2,15;1,03;2,78;0,80;2,30;0,74;3,35;1,17;2,69;0,96;0,55;;
11.156;1,09;2,02;0,99;2,78;0,80;2,30;0,76;3,35;1,16;2,69;0,96;0,50;;
11.199;1,08;2,02;0,99;2,64;0,80;2,30;0,76;3,42;1,16;2,60;0,95;0,50;;
11.221;1,08;1,88;0,98;2,64;0,79;2,30;0,82;3,42;1,13;2,60;0,95;0,45;;
11.256;1,05;1,88;0,98;2,47;0,78;2,30;0,90;3,42;1,13;2,48;0,95;0,45;;
11.291;1,06;1,88;0,96;2,47;0,78;2,33;0,90;3,51;1,12;2,48;0,95;0,41;;
11.3;1,06;1,73;0,95;2,47;0,78;2,33;0,95;3,51;1,10;2,48;0,96;0,41;;
11.36;1,04;1,73;0,95;2,32;0,78;2,36;0,95;3,61;1,10;2,35;0,95;0,41;;
11.362;1,04;1,57;0,95;2,32;0,77;2,36;1,04;3,61;1,07;2,35;0,95;0,36;;
11.399;1,04;1,57;0,95;2,18;0,77;2,43;1,04;3,70;1,07;2,21;0,95;0,36;;
11.432;1,04;1,57;0,94;2,18;0,77;2,43;1,09;3,70;1,06;2,21;0,95;0,33;;
11.45;1,04;1,43;0,93;2,18;0,79;2,43;1,18;3,70;1,05;2,21;0,94;0,33;;
11.5;1,03;1,43;0,93;2,05;0,79;2,50;1,18;3,78;1,05;2,06;0,94;0,33;;
11.503;1,03;1,27;0,93;2,05;0,81;2,50;1,22;3,78;1,04;2,06;0,94;0,29;;
11.561;1,03;1,27;0,93;1,92;0,81;2,58;1,22;3,85;1,04;1,91;0,94;0,29;;
11.571;1,03;1,11;0,92;1,92;0,82;2,58;1,29;3,85;1,03;1,91;0,94;0,26;;
11.599;1,02;1,11;0,92;1,82;0,86;2,58;1,33;3,85;1,03;1,76;0,94;0,26;;
11.666;1,03;1,11;0,92;1,82;0,86;2,67;1,33;3,89;1,02;1,76;0,94;0,24;;
11.667;1,03;0,96;0,92;1,82;0,88;2,67;1,36;3,89;1,01;1,76;0,95;0,24;;
11.72;1,03;0,96;0,92;1,73;0,88;2,76;1,36;3,90;1,01;1,60;0,94;0,24;;
11.722;1,03;0,81;0,91;1,73;0,94;2,76;1,38;3,90;1,00;1,60;0,94;0,21;;
11.758;1,04;0,81;0,91;1,66;0,94;2,85;1,38;3,87;1,00;1,45;0,94;0,21;;
11.791;1,03;0,81;0,90;1,66;0,96;2,85;1,37;3,87;1,01;1,45;0,94;0,18;;
11.799;1,03;0,66;0,90;1,66;1,02;2,85;1,35;3,87;1,02;1,45;0,94;0,18;;
11.86;1,03;0,66;0,90;1,60;1,02;2,93;1,35;3,81;1,02;1,29;0,94;0,18;;
11.87;1,03;0,52;0,90;1,60;1,04;2,93;1,33;3,81;1,01;1,29;0,94;0,16;;
11.899;1,03;0,52;0,90;1,55;1,04;3,02;1,33;3,73;1,01;1,15;0,93;0,16;;
11.931;1,03;0,36;0,89;1,55;1,11;3,02;1,27;3,73;1,01;1,15;0,93;0,13;;
11.949;1,04;0,36;0,89;1,53;1,16;3,02;1,25;3,73;1,01;1,01;0,94;0,13;;
11.999;1,03;0,36;0,88;1,53;1,16;3,08;1,25;3,62;1,02;1,01;0,94;0,11;;
12.002;1,03;0,22;0,88;1,53;1,18;3,08;1,18;3,62;1,01;1,01;0,94;0,11;;
12.049;1,03;0,22;0,88;1,51;1,18;3,13;1,18;3,49;1,01;0,86;0,94;0,11;;
12.075;1,03;0,08;0,86;1,51;1,22;3,13;1,15;3,49;1,01;0,86;0,94;0,09;;
12.099;1,03;0,08;0,86;1,50;1,22;3,15;1,15;3,35;1,01;0,72;0,94;0,09;;
12.141;1,04;0,08;0,87;1,50;1,23;3,15;1,08;3,35;1,01;0,72;0,94;0,07;;
12.151;1,04;0,06;0,84;1,50;1,25;3,15;1,02;3,35;1,01;0,72;0,94;0,07;;
12.199;1,04;0,06;0,84;1,53;1,25;3,15;1,02;3,19;1,01;0,59;0,94;0,07;;
12.211;1,04;0,18;0,84;1,53;1,25;3,15;1,00;3,19;1,01;0,59;0,94;0,06;;
12.249;1,05;0,18;0,84;1,55;1,25;3,11;1,00;3,04;1,01;0,45;0,94;0,06;;
12.281;1,05;0,28;0,83;1,55;1,24;3,11;0,95;3,04;1,01;0,45;0,94;0,04;;
12.3;1,05;0,28;0,83;1,59;1,22;3,11;0,94;3,04;1,01;0,33;0,94;0,04;;
12.349;1,05;0,28;0,82;1,59;1,22;3,05;0,94;2,88;1,01;0,33;0,94;0,01;;
12.358;1,05;0,37;0,82;1,59;1,22;3,05;0,91;2,88;1,01;0,33;0,94;0,01;;
12.402;1,05;0,37;0,82;1,64;1,22;2,97;0,91;2,73;1,01;0,21;0,94;0,01;;
12.436;1,05;0,46;0,81;1,64;1,19;2,97;0,90;2,73;1,02;0,21;0,94;0,01;;
12.453;1,07;0,46;0,81;1,71;1,19;2,86;0,90;2,60;1,02;0,09;0,93;0,01;;
12.499;1,05;0,46;0,81;1,71;1,16;2,86;0,89;2,60;1,02;0,09;0,93;0,01;;
12.502;1,05;0,36;0,80;1,71;1,13;2,86;0,87;2,60;1,02;0,09;0,94;0,01;;
12.549;1,09;0,36;0,80;1,78;1,13;2,74;0,87;2,47;1,02;0,03;0,94;0,01;;
12.571;1,09;0,30;0,81;1,78;1,11;2,74;0,88;2,47;1,02;0,03;0,94;0,01;;
12.599;1,12;0,30;0,81;1,86;1,11;2,60;0,88;2,37;1,02;0,13;0,94;0,01;;
12.641;1,17;0,30;0,81;1,86;1,09;2,60;0,86;2,37;1,03;0,13;0,94;0,00;;
12.649;1,17;0,08;0,81;1,95;1,07;2,60;0,86;2,37;1,03;0,20;0,93;0,00;;
12.699;1,15;0,08;0,81;1,95;1,07;2,45;0,86;2,29;1,03;0,20;0,93;0,01;;
12.711;1,15;0,12;0,84;1,95;1,04;2,45;0,84;2,29;1,03;0,20;0,94;0,01;;
12.749;1,14;0,12;0,84;2,05;1,04;2,30;0,84;2,24;1,03;0,25;0,93;0,01;;
12.79;1,14;0,30;0,86;2,05;1,03;2,30;0,84;2,24;1,03;0,25;0,93;0,01;;
12.805;1,13;0,30;0,86;2,13;1,03;2,15;0,84;2,21;1,03;0,29;0,93;0,01;;
12.849;1,11;0,30;0,87;2,13;1,01;2,15;0,82;2,21;1,04;0,29;0,93;0,01;;
12.853;1,11;0,43;0,90;2,13;1,01;2,15;0,82;2,21;1,05;0,29;0,93;0,01;;
12.901;1,10;0,43;0,90;2,24;1,01;1,98;0,82;2,20;1,05;0,33;0,94;0,01;;
12.921;1,10;0,51;0,93;2,24;1,00;1,98;0,80;2,20;1,08;0,33;0,94;0,00;;
12.949;1,10;0,51;0,93;2,32;1,00;1,83;0,80;2,21;1,08;0,26;0,94;0,00;;
12.996;1,08;0,51;0,96;2,32;1,00;1,83;0,80;2,21;1,08;0,26;0,94;0,01;;
13.0;1,08;0,54;0,96;2,40;0,99;1,83;0,79;2,21;1,08;0,11;0,94;0,01;;
13.049;1,08;0,54;0,98;2,40;0,99;1,68;0,79;2,23;1,09;0,11;0,94;0,00;;
13.061;1,08;0,56;1,03;2,40;0,99;1,68;0,79;2,23;1,08;0,11;0,94;0,00;;
13.099;1,08;0,56;1,03;2,48;0,99;1,54;0,79;2,26;1,08;0,03;0,93;0,00;;
13.131;1,08;0,58;1,05;2,48;0,99;1,54;0,78;2,26;1,06;0,03;0,93;0,00;;
13.149;1,09;0,58;1,05;2,55;0,99;1,40;0,78;2,31;1,06;0,06;0,93;0,00;;
13.202;1,09;0,58;1,09;2,55;0,99;1,40;0,79;2,31;1,05;0,06;0,93;0,01;;
13.21;1,09;0,65;1,13;2,55;0,99;1,40;0,80;2,31;1,04;0,06;0,92;0,01;;
13.249;1,09;0,65;1,13;2,60;0,99;1,28;0,80;2,37;1,04;0,04;0,93;0,01;;
13.291;1,09;0,73;1,13;2,60;0,99;1,28;0,80;2,37;1,04;0,04;0,93;0,00;;
13.303;1,10;0,73;1,13;2,63;0,99;1,16;0,80;2,44;1,04;0,03;0,94;0,00;;
13.35;1,10;0,73;1,16;2,63;0,98;1,16;0,82;2,44;1,05;0,03;0,94;0,00;;
13.352;1,10;0,88;1,16;2,65;0,99;1,16;0,83;2,44;1,04;0,03;0,94;0,00;;
13.4;1,09;0,88;1,17;2,65;0,99;1,04;0,83;2,52;1,04;0,01;0,94;0,00;;
13.421;1,09;1,04;1,18;2,65;0,99;1,04;0,87;2,52;1,05;0,01;0,92;0,00;;
13.449;1,07;1,04;1,18;2,64;0,99;0,93;0,87;2,60;1,05;0,02;0,93;0,00;;
13.5;1,07;1,16;1,18;2,64;0,98;0,93;0,90;2,60;1,04;0,02;0,93;0,01;;
13.501;1,06;1,16;1,18;2,61;0,98;0,84;0,90;2,70;1,04;0,01;0,93;0,01;;
13.549;1,03;1,16;1,18;2,61;0,99;0,84;0,94;2,70;1,06;0,01;0,93;0,01;;
13.571;1,03;1,26;1,18;2,61;0,99;0,84;0,98;2,70;1,06;0,01;0,94;0,01;;
13.599;1,00;1,26;1,18;2,55;0,99;0,76;0,98;2,79;1,06;0,02;0,93;0,01;;
13.641;1,00;1,23;1,16;2,55;0,98;0,76;1,03;2,79;1,05;0,02;0,93;0,01;;
13.649;0,98;1,23;1,16;2,47;0,98;0,68;1,03;2,89;1,05;0,02;0,93;0,01;;
13.699;0,98;1,23;1,14;2,47;0,99;0,68;1,05;2,89;1,06;0,02;0,93;0,00;;
13.711;0,98;1,13;1,14;2,38;0,99;0,68;1,11;2,89;1,06;0,02;0,94;0,00;;
13.749;0,98;1,13;1,13;2,38;0,99;0,58;1,11;2,96;1,06;0,01;0,94;0,00;;
13.799;0,98;1,02;1,11;2,38;0,98;0,58;1,16;2,96;1,05;0,01;0,93;0,00;;
13.801;0,98;1,02;1,11;2,27;0,98;0,51;1,16;3,02;1,05;0,00;0,94;0,00;;
13.849;0,98;0,93;1,10;2,27;0,98;0,51;1,18;3,02;1,05;0,00;0,94;0,01;;
13.852;0,97;0,93;1,10;2,14;0,98;0,44;1,18;3,07;1,05;0,01;0,92;0,01;;
13.899;0,98;0,93;1,09;2,14;0,98;0,44;1,22;3,07;1,06;0,01;0,92;0,01;;
13.921;0,98;0,83;1,08;2,14;0,97;0,44;1,22;3,07;1,05;0,01;0,93;0,01;;
13.949;0,97;0,83;1,08;2,00;0,97;0,37;1,22;3,07;1,05;0,00;0,93;0,01;;
14.002;0,97;0,76;1,06;2,00;0,97;0,37;1,23;3,07;1,06;0,00;0,93;0,01;;
14.003;0,97;0,76;1,06;1,85;0,97;0,31;1,23;3,05;1,06;0,01;0,94;0,01;;
14.049;0,97;0,76;1,05;1,85;0,97;0,31;1,24;3,05;1,06;0,01;0,94;0,01;;
14.064;0,97;0,70;1,05;1,71;0,97;0,31;1,23;3,05;1,06;0,01;0,92;0,01;;
14.11;0,98;0,70;1,04;1,71;0,97;0,24;1,23;3,00;1,06;0,01;0,92;0,00;;
14.133;0,98;0,63;1,04;1,71;0,97;0,24;1,22;3,00;1,05;0,01;0,93;0,00;;
14.149;0,96;0,63;1,04;1,55;0,97;0,18;1,22;2,94;1,05;0,01;0,93;0,00;;
14.199;0,96;0,57;1,04;1,55;0,97;0,18;1,20;2,94;1,05;0,01;0,93;0,00;;
14.204;0,97;0,57;1,04;1,39;0,97;0,12;1,20;2,85;1,05;0,03;0,92;0,00;;
14.249;0,96;0,57;1,02;1,39;0,98;0,12;1,17;2,85;1,06;0,03;0,92;0,00;;
14.271;0,96;0,51;1,03;1,39;0,97;0,12;1,16;2,85;1,06;0,03;0,93;0,00;;
14.299;0,97;0,51;1,03;1,23;0,97;0,07;1,16;2,73;1,06;0,03;0,94;0,00;;
14.341;0,97;0,46;1,03;1,23;0,98;0,07;1,12;2,73;1,07;0,03;0,94;0,00;;
14.349;0,95;0,46;1,03;1,07;0,98;0,01;1,12;2,60;1,07;0,04;0,92;0,00;;
14.401;0,96;0,46;1,03;1,07;0,97;0,01;1,11;2,60;1,07;0,04;0,92;0,00;;
14.411;0,96;0,41;1,03;0,91;0,97;0,01;1,08;2,60;1,07;0,13;0,93;0,00;;
14.449;0,96;0,41;1,03;0,91;0,97;0,03;1,08;2,46;1,07;0,13;0,93;0,01;;
14.496;0,96;0,36;1,03;0,91;0,97;0,03;1,07;2,46;1,06;0,13;0,93;0,01;;
14.504;0,96;0,36;1,03;0,73;0,97;0,05;1,07;2,32;1,06;0,22;0,93;0,01;;
14.549;0,96;0,32;1,03;0,73;0,98;0,05;1,05;2,32;1,07;0,22;0,93;0,00;;
14.606;0,95;0,32;1,03;0,57;0,97;0,05;1,05;2,16;1,07;0,27;0,94;0,00;;
14.607;0,95;0,32;1,03;0,57;0,97;0,06;1,04;2,16;1,06;0,27;0,94;0,00;;
14.626;0,95;0,27;1,02;0,57;0,97;0,06;1,02;2,16;1,05;0,27;0,93;0,00;;
14.659;0,96;0,27;1,02;0,43;0,97;0,05;1,02;2,02;1,05;0,31;0,92;0,00;;
14.693;0,96;0,24;1,03;0,43;0,97;0,05;1,01;2,02;1,07;0,31;0,92;0,00;;
14.699;0,95;0,24;1,03;0,27;0,97;0,05;1,01;1,87;1,07;0,37;0,93;0,00;;
14.749;0,94;0,24;1,03;0,27;0,98;0,05;1,01;1,87;1,06;0,37;0,93;0,00;;
14.761;0,94;0,21;1,03;0,27;0,98;0,05;1,00;1,87;1,06;0,45;0,93;0,00;;
14.799;0,95;0,21;1,03;0,12;0,98;0,01;1,00;1,73;1,06;0,45;0,93;0,01;;
