time x y z G
0,004 -0,05472 0,36548 0,92055 0,991958775
0,014 -0,05668 0,36939 0,90491 0,9790422374
0,024 -0,06254 0,37525 0,91077 0,9870287772
0,034 -0,0645 0,38698 0,93227 1,0114549537
0,05 -0,04691 0,39089 0,92641 1,0065937752
0,054 -0,03713 0,39089 0,91664 0,9971973318
0,072 -0,03323 0,38503 0,9225 1,0001792758
0,074 -0,02932 0,38307 0,91859 0,9956956741
0,084 -0,03909 0,37135 0,97723 1,0461392467
0,098 -0,03909 0,36744 0,98113 1,0484065331
0,104 -0,03909 0,36353 0,97918 1,0452155574
0,114 -0,03909 0,36548 0,97527 1,042235689
0,124 -0,043 0,36744 0,97136 1,0394235918
0,134 -0,04886 0,36744 0,95964 1,0287411641
0,156 -0,04886 0,36939 0,95377 1,0239694744
0,165 -0,05277 0,36939 0,95573 1,0259890243
0,166 -0,05082 0,36548 0,95964 1,0281377497
0,182 -0,04886 0,35962 0,96941 1,0351181537
0,195 -0,043 0,34594 0,97332 1,033864259
0,196 -0,03518 0,33617 0,96941 1,0266467988
0,207 -0,00586 0,30489 0,96941 1,016242097
0,214 -0,00586 0,32053 0,96354 1,0154718864
0,224 -0,00782 0,34789 0,97332 1,0336539203
0,234 -0,00977 0,34789 0,99286 1,0520902455
0,255 0 0,33421 0,97723 1,0327994951
0,256 0,00782 0,33421 0,96354 1,0198856838
0,265 0,00782 0,34203 0,96159 1,0206375465
0,274 0,00586 0,34985 0,97136 1,0324580436
0,284 0,00977 0,34594 0,97136 1,0311693295
0,295 0,01759 0,34203 0,9655 1,0244433508
0,304 0,0215 0,34789 0,94595 1,0081225643
0,314 0,02345 0,34789 0,92641 0,9898549604
0,324 0,01954 0,33812 0,91468 0,9753699034
0,334 0,02345 0,3303 0,92055 0,978294585
0,356 0,02736 0,32248 0,94205 0,9960924267
0,356 0,03127 0,31662 0,97332 1,0240009081
0,364 0,02736 0,31467 0,97918 1,0288630866
0,374 0,03127 0,31662 0,94791 0,9998796955
0,384 0,03127 0,32639 0,92445 0,9808751437
0,396 0,03909 0,32639 0,91077 0,9682770539
0,404 0,05668 0,32639 0,901 0,9599708613
0,415 0,05082 0,32248 0,90686 0,9638314595
0,424 0,03518 0,32639 0,94791 1,0031457684
0,434 0,01954 0,32248 0,987 1,0385298079
0,456 0,00586 0,32639 0,99286 1,0451486743
0,457 0,00195 0,33421 0,987 1,0420504434
0,465 0,00586 0,33617 0,99286 1,0482440499
0,477 0,01954 0,32444 0,99286 1,0447076648
0,485 0,02541 0,32639 0,9655 1,019493183
0,495 0,02932 0,3303 0,94595 1,0023867292
0,504 0,03713 0,32835 0,92641 0,9835791008
0,514 0,03909 0,33226 0,90491 0,9647729494
0,524 0,03713 0,32835 0,88927 0,9486798682
0,534 0,03713 0,32444 0,90491 0,9620301755
0,556 0,03518 0,31662 0,91468 0,9685687168
0,557 0,02932 0,31271 0,93032 0,9819075867
0,565 0,00391 0,31076 0,987 1,0347734369
0,578 -0,00391 0,31271 0,99286 1,0409485154
0,585 -0,01368 0,31858 0,99872 1,0483901932
0,595 -0,01759 0,32639 1,01241 1,0638674017
0,604 -0,00391 0,3303 1,01241 1,0649353906
0,614 0,00391 0,33421 0,98504 1,040199699
0,624 0,01759 0,34007 0,95768 1,0164192026
0,634 0,0215 0,34203 0,93814 0,9987759661
0,656 0,00977 0,33421 0,95377 1,0106774905
0,657 0,00391 0,32835 0,95964 1,0142671937
0,665 -0,00391 0,30099 0,97332 1,0188042455
0,674 0,00782 0,30685 0,987 1,0336281125
0,685 0,00195 0,32444 0,98309 1,0352444466
0,695 0,01368 0,32639 0,99286 1,0452217727
0,704 0,02932 0,32053 0,97527 1,0270105726
0,714 0,03518 0,32053 0,94595 0,9993990773
0,724 0,04104 0,31271 0,92836 0,980471374
0,734 0,03909 0,31271 0,93814 0,9896576336
0,756 0,03518 0,31076 0,944 0,9944573445
0,757 0,03127 0,3088 0,93814 0,9881507539
0,765 0,03713 0,30294 0,97332 1,0200505394
0,774 0,04691 0,29512 0,987 1,0312445697
0,785 0,05472 0,30099 0,97918 1,0258570714
0,795 0,06059 0,31271 0,95964 1,0111219619
0,804 0,04691 0,32835 0,95768 1,0134916147
0,814 0,02932 0,32444 0,99091 1,0430836995
0,824 0,02736 0,32053 1,00263 1,0529743432
0,834 0,01954 0,31858 0,99677 1,0466257502
0,856 -0,00977 0,31076 1,02218 1,0684190109
0,857 -0,00977 0,29903 1,03977 1,0819593554
0,865 0 0,29903 1,03977 1,0819152434
0,877 0,01954 0,29708 1,02413 1,0665273531
0,885 0,05082 0,30685 0,98895 1,0367071416
0,894 0,05863 0,30685 0,97136 1,0203600585
0,904 0,05668 0,30685 0,96745 1,0165279373
0,914 0,04495 0,3088 0,95768 1,0072382662
0,924 0,03713 0,30489 0,95182 1,0001489196
0,934 0,03909 0,30099 0,94009 0,9878725709
0,95 0,04104 0,29708 0,944 0,9904932145
0,954 0,04104 0,29708 0,95573 1,0016789111
0,968 0,0215 0,31076 0,94205 0,9922158183
0,974 0,01564 0,31662 0,9225 0,9754481452
0,984 0,01954 0,32053 0,92055 0,9749531245
0,995 0,01954 0,32053 0,91664 0,9712621593
1,004 0,00977 0,32444 0,93814 0,9927051053
1,014 0,00977 0,31858 0,93814 0,9908053941
1,024 0,00782 0,32053 0,93227 0,985864081
1,034 0,00782 0,31467 0,94205 0,9932454701
1,053 0 0,30489 0,97918 1,0255493087
1,055 -0,00586 0,30685 0,96745 1,0149634302
1,074 -0,00391 0,30685 0,95573 1,0037888441
1,078 0 0,30489 0,94791 0,9957365516
1,086 0 0,29121 0,95377 0,9972364198
1,095 0,00195 0,28535 0,9655 1,0067863105
1,104 0,00391 0,2834 0,97332 1,0137468473
1,114 0,01173 0,27362 0,98309 1,0205250832
1,124 0,01759 0,2619 1,00068 1,0345344269
1,134 0,01564 0,25212 1,00068 1,0320705239
1,151 0,02932 0,24822 1,0085 1,0390115884
1,17 0,03127 0,24822 1,01631 1,0466503702
1,171 0,00391 0,27558 0,987 1,024757837
1,178 -0,00391 0,28535 0,96745 1,0086621898
1,185 -0,01173 0,28144 0,96159 1,0019986999
1,195 -0,01954 0,27753 0,94791 0,9878957843
1,204 -0,00391 0,27167 0,94791 0,9860797357
1,214 0,00977 0,26971 0,95964 0,9968690318
1,224 0,02345 0,27167 0,94791 0,9863507791
1,234 0,03127 0,27753 0,91859 0,9601084844
1,248 0,04495 0,27167 0,94595 0,9852139331
1,254 0,043 0,28144 0,94791 0,9897428159
1,265 0,01564 0,29903 0,94205 0,9884946904
1,274 -0,01564 0,31271 0,9225 0,9741860211
1,284 -0,04886 0,29903 0,95377 1,0007414518
1,294 -0,06059 0,29708 0,97723 1,0231843174
1,304 -0,06254 0,2873 0,99091 1,0336126788
1,314 -0,05277 0,27753 0,98309 1,0228751253
