density;flow
0.02;0.031
0.02;0.030
0.02;0.031
0.02;0.030
0.02;0.029
0.04;0.061
0.04;0.060
0.04;0.061
0.04;0.061
0.04;0.060
0.10;0.148
0.10;0.147
0.10;0.149
0.10;0.140
0.10;0.141
0.20;0.251
0.20;0.252
0.20;0.241
0.20;0.256
0.20;0.236
0.40;0.223
0.40;0.241
0.40;0.233
0.40;0.232
0.40;0.215
0.60;0.148
0.60;0.155
0.60;0.149
0.60;0.153
0.60;0.160
0.80;0.086
0.80;0.084
0.80;0.085
0.80;0.082
0.80;0.085
