x;t;v
0;227.306;1.59
1;228.797;1.06
2;230.340;0.76
3;231.746;0.74
4;233.154;0.61
5;234.586;0.63
6;236.098;0.57
7;237.486;0.56
8;238.980;0.50
9;240.337;0.50
10;241.788;0.46
11;243.237;0.45
12;244.657;0.43
13;246.086;0.41
14;247.543;0.40
15;248.996;0.38
16;250.400;0.36
17;251.846;0.37
18;253.288;0.35
19;254.706;0.32

