x;t;v
0;325.256;0.96
1;326.606;0.95
2;328.117;0.69
3;329.556;0.64
4;331.006;0.60
5;332.406;0.61
6;333.859;0.56
7;335.306;0.54
8;336.756;0.52
9;338.157;0.49
10;339.608;0.49
11;341.056;0.46
12;342.477;0.44
13;343.916;0.43
14;345.346;0.41
15;346.796;0.39
16;348.196;0.38
17;349.646;0.38
18;351.101;0.36
19;352.546;0.35

