x;t;v
0;22.934;2.44
1;24.626;1.31
2;25.976;1.05
3;27.476;0.82
4;28.298;0.71
5;30.386;0.60
6;31.736;0.57
7;33.218;0.54
8;34.589;0.47
9;36.039;0.46
10;37.454;0.44
11;38.909;0.43
12;40.382;0.39
13;41.836;0.39
14;43.236;0.36
15;44.686;0.35
16;46.141;0.32
17;47.566;0.32
18;48.998;0.29
19;50.416;0.29

