x;t;v;a
0.0;250.010;7.76;2.46
0.5;250.491;7.02;0.46
1.0;250.849;7.31;2.31
1.5;251.399;6.53;0.76
2.0;251.771;6.85;2.15
2.5;252.349;6.01;0.48
3.0;252.753;6.36;2.00
3.5;253.399;5.47;0.49
4.0;253.871;5.84;1.83
4.5;254.657;4.85;0.51
5.0;255.085;5.28;1.69
5.5;255.841;4.15;0.55
6.0;256.413;4.66;1.53
6.5;257.349;3.35;0.67
7.0;258.049;3.98;1.38
7.5;259.293;2.30;0.80
8.0;260.249;3.15;1.25

