x;t;v;a
0.0;506.565;6.43;2.00
0.5;507.209;5.52;0.40
1.0;507.659;5.89;1.85
1.5;508.359;4.92;0.47
2.0;508.859;5.34;1.70
2.5;509.609;4.23;0.53
3.0;510.214;4.72;1.56
3.5;511.121;3.43;0.66
4.0;511.838;4.02;1.39
4.5;513.009;2.40;0.78
5.0;513.962;3.20;1.25

