Event#, Time(ms)
62,1
63,2
29663,3
635,4
633,5
564,6
628,7
63,8
63,9
124,10
63,11
130,12
133,13
125,14
121,15
126,16
127,17
126,18
190,19
124,20
188,21
123,22
187,23
191,24
184,25
186,26
187,27
190,28
191,29
184,30
122,31
63,32
62,33
62,34
249,35
190,36
187,37
251,38
189,39
246,40
188,41
247,42
250,43
249,44
128,45
64,46
