Event#, Time(ms)
63,1
64,2
64,3
70,4
125,5
569,6
632,7
63,8
63,9
126,10
571,11
635,12
63,13
64,14
125,15
505,16
632,17
62,18
125,19
118,20
446,21
630,22
63,23
190,24
119,25
439,26
696,27
63,28
123,29
693,30
65,31
124,32
570,33
65,34
63,35
65,36
62,37
62,38
63,39
383,40
67,41
60,42
62,43
383,44
63,45
569,46
62,47
63,48
250,49
65,50
62,51
377,52
70,53
125,54
63,55
316,56
61,57
130,58
62,59
321,60
