Event#, Time(ms)
61,1
63,2
23516,3
634,4
632,5
631,6
631,7
634,8
634,9
634,10
696,11
570,12
63,13
66,14
66,15
693,16
571,17
64,18
63,19
190,20
193,21
189,22
191,23
183,24
186,25
186,26
190,27
194,28
195,29
257,30
187,31
182,32
180,33
187,34
256,35
191,36
252,37
252,38
253,39
253,40
249,41
245,42
252,43
315,44
