Event#, Time(ms)
63,1
63,2
26908,3
570,4
694,5
569,6
692,7
570,8
698,9
571,10
691,11
568,12
695,13
569,14
692,15
570,16
696,17
566,18
696,19
501,20
690,21
502,22
695,23
507,24
633,25
64,26
61,27
65,28
251,29
184,30
188,31
382,32
641,33
69,34
191,35
191,36
320,37
62,38
634,39
69,40
250,41
195,42
319,43
628,44
70,45
252,46
242,47
194,48
632,49
62,50
62,51
627,52
