Event#, Time(ms)
63,1
63,2
16244,3
571,4
694,5
570,6
63,7
63,8
124,9
62,10
67,11
191,12
188,13
189,14
184,15
188,16
192,17
186,18
187,19
189,20
252,21
185,22
249,23
183,24
257,25
195,26
249,27
250,28
122,29
508,30
376,31
63,32
509,33
62,34
380,35
501,36
376,37
498,38
315,39
131,40
375,41
316,42
313,43
257,44
502,45
63,46
314,47
