Event#, Time(ms)
62,1
63,2
16114,3
690,4
571,5
633,6
571,7
571,8
568,9
631,10
570,11
694,12
571,13
632,14
570,15
507,16
506,17
569,18
508,19
569,20
501,21
561,22
500,23
508,24
497,25
507,26
501,27
509,28
503,29
506,30
443,31
497,32
439,33
439,34
440,35
370,36
437,37
377,38
440,39
377,40
382,41
317,42
313,43
