time x y z G
0,006 -0,07818 0,32248 0,89709 0,9564914693
0,007 -0,08795 0,33421 0,9225 0,9851080025
0,018 -0,09772 0,35962 0,93814 1,0094465822
0,027 -0,09186 0,33812 0,93814 1,0014339986
0,039 -0,08795 0,32248 0,94009 0,997746341
0,047 -0,086 0,31662 0,94595 1,0012320545
0,058 -0,08209 0,31858 0,96159 1,0163106378
0,067 -0,07231 0,30099 0,96354 1,012043995
0,078 -0,05668 0,31271 0,97332 1,0238906137
0,089 -0,05863 0,31467 0,95573 1,0079060069
0,097 -0,06059 0,31271 0,944 0,9962904658
0,108 -0,05863 0,31467 0,93423 0,9875425959
0,117 -0,06254 0,32444 0,93814 0,994625168
0,127 -0,0645 0,32835 0,93618 0,9941865846
0,139 -0,07036 0,3303 0,94205 1,0007531274
0,148 -0,07818 0,32835 0,95768 1,0154195277
0,158 -0,07818 0,33226 0,96354 1,0222123809
0,167 -0,07622 0,3303 0,95573 1,0140647964
0,184 -0,08013 0,32639 0,95377 1,0112509391
0,19 -0,07622 0,32639 0,96159 1,0183296365
0,198 -0,08013 0,32835 0,9655 1,0229490649
0,208 -0,07818 0,31858 0,96745 1,0215502099
0,217 -0,07231 0,31858 0,95964 1,013721304
0,228 -0,07231 0,31662 0,97332 1,0260744529
0,241 -0,07427 0,32248 0,96941 1,0243364347
0,247 -0,07622 0,32444 0,96941 1,0250983124
0,258 -0,07622 0,32248 0,97332 1,0281802669
0,267 -0,07231 0,32053 0,95768 1,0124817032
0,284 -0,07427 0,32053 0,95182 1,0070833263
0,301 -0,07622 0,31662 0,95377 1,0078367555
0,303 -0,07622 0,31662 0,95377 1,0078367555
0,308 -0,07427 0,32248 0,95768 1,0132425009
0,317 -0,07231 0,32053 0,96159 1,0161808624
0,328 -0,07818 0,32053 0,96159 1,0166154245
0,344 -0,07427 0,32053 0,95182 1,0070833263
0,347 -0,07622 0,32053 0,94791 1,0035349209
0,358 -0,07818 0,32639 0,95768 1,0147874294
0,367 -0,08013 0,32639 0,97136 1,0278577229
0,379 -0,07231 0,31467 0,95573 1,0087942198
0,39 -0,07427 0,31662 0,94791 1,0021465089
0,397 -0,08209 0,32248 0,95964 1,0156973211
0,408 -0,07231 0,32248 0,95964 1,0149537015
0,417 -0,07231 0,32053 0,96354 1,0180263005
0,428 -0,07427 0,31467 0,96159 1,0144893148
0,439 -0,07036 0,31662 0,95964 1,0129697348
0,447 -0,07036 0,31271 0,9655 1,0173142699
