x;t;v;a
0.0;62.212;6.11;1.89
0.5;62.916;5.14;0.61
1.0;63.362;5.54;1.76
1.5;64.109;4.48;0.59
2.0;64.664;4.96;1.60
2.5;65.509;3.73;0.63
3.0;66.163;4.29;1.46
3.5;67.212;2.80;0.74
4.0;68.011;3.53;1.31
4.5;69.610;1.40;0.86
5.0;70.959;2.60;1.18

