x;t;v;a
0.0;438.592;6.76;2.12
0.5;439.205;5.92;0.47
1.0;439.639;6.26;1.95
1.5;440.271;5.34;0.33
2.0;440.739;5.72;1.81
2.5;441.475;4.71;0.49
3.0;441.989;5.14;1.65
3.5;442.789;3.99;0.59
4.0;443.392;4.51;1.49
4.5;444.395;3.13;0.70
5.0;445.131;3.78;1.34
5.5;446.439;1.98;0.82
6.0;447.511;2.92;1.20

