x;t;v;a
0.0;381.609;8.55;2.74
0.5;382.018;7.89;0.84
1.0;382.359;8.16;2.16
1.5;382.831;7.46;0.72
2.0;383.159;7.74;2.46
2.5;383.671;6.99;0.50
3.0;384.025;7.29;2.29
3.5;384.591;6.49;0.39
4.0;384.959;6.81;2.14
4.5;385.559;5.98;0.64
5.0;385.959;6.34;1.98
5.5;386.609;5.41;0.47
6.0;387.059;5.80;1.83
6.5;387.759;4.80;0.47
7.0;388.261;5.23;1.67
7.5;389.063;4.10;0.56
8.0;389.674;4.61;1.52
8.5;390.609;3.27;0.69
9.0;391.331;3.90;1.36
9.5;392.559;2.20;0.80
10.0;393.572;3.07;1.22

