time x y z G
1,048 -0,03909 0,36939 0,95182 1,0217329948
1,058 -0,03909 0,36744 0,944 1,0137436469
1,068 -0,03323 0,35962 0,94595 1,0125473716
1,078 -0,01954 0,35766 0,93618 1,0023649433
1,098 -0,0215 0,36353 0,92836 0,9972304651
1,099 -0,03127 0,37135 0,92445 0,9967378983
1,115 -0,03909 0,38112 0,93032 1,0061191703
1,118 -0,04886 0,3948 0,93227 1,0135983882
1,129 -0,04691 0,39089 0,944 1,0228057197
1,14 -0,043 0,38112 0,95377 1,0279974063
1,148 -0,03713 0,36939 0,96354 1,0325874978
1,158 -0,01759 0,35962 0,95768 1,0231260601
1,168 -0,01759 0,35962 0,95573 1,0213010258
1,178 -0,0215 0,36157 0,944 1,0111039091
1,195 -0,0215 0,35766 0,93423 1,0005841386
1,198 -0,02736 0,36353 0,93423 1,0028401285
1,215 -0,03518 0,36548 0,93227 1,0019683706
1,218 -0,03713 0,36353 0,93423 1,0031542208
1,229 -0,03127 0,36157 0,94205 1,0095389444
1,242 -0,01759 0,35376 0,95182 1,0155869525
1,248 -0,01564 0,35376 0,94791 1,0118913555
1,258 -0,01564 0,36157 0,94205 1,0091757414
1,268 -0,01954 0,36353 0,93423 1,0026572522
1,278 -0,02345 0,36939 0,93032 1,0012463119
1,294 -0,02345 0,37721 0,92445 0,9987217276
1,298 -0,01954 0,37525 0,9225 0,9960926785
1,312 -0,0215 0,37135 0,93423 1,0055589318
1,318 -0,03713 0,37525 0,94986 1,0219712418
1,328 -0,04495 0,37916 0,96159 1,0346198027
1,341 -0,05277 0,38112 0,98113 1,0538753267
1,348 -0,05082 0,37721 0,98895 1,0596660601
1,358 -0,03518 0,36548 0,96941 1,0366142054
1,368 -0,02541 0,35766 0,96941 1,0335966775
1,384 -0,01564 0,35766 0,9655 1,0297356628
1,391 -0,01173 0,35962 0,95768 1,0230420909
1,398 -0,02345 0,36548 0,94986 1,0180174618
1,41 -0,02736 0,37135 0,95182 1,0220619866
1,418 -0,03323 0,38307 0,94986 1,02473454
1,428 -0,03909 0,38698 0,944 1,0209885154
1,443 -0,043 0,37721 0,95573 1,0283755233
1,448 -0,04691 0,36939 0,96159 1,0311667413
1,458 -0,04886 0,36157 0,9655 1,0321387574
1,468 -0,04691 0,36157 0,97332 1,0393677094
1,478 -0,03713 0,35766 0,96159 1,0266229301
1,497 -0,03518 0,35376 0,96354 1,0270312077
1,498 -0,03518 0,35376 0,97332 1,0362121368
1,511 -0,03323 0,34985 0,98113 1,0421685719
1,518 -0,03323 0,3518 0,96941 1,0318058059
1,528 -0,03323 0,35766 0,9655 1,0301529782
1,541 -0,02541 0,35962 0,95768 1,0232903766
1,548 -0,0215 0,35376 0,95182 1,0156621978
1,558 -0,01954 0,3518 0,93423 0,9984641929
1,568 -0,0215 0,3518 0,93618 1,000329187
1,578 -0,02736 0,35376 0,93814 1,0029961948
1,595 -0,03323 0,35962 0,93618 1,0034260161
1,598 -0,03713 0,36548 0,944 1,0129611381
1,612 -0,03909 0,36157 0,95768 1,024408061
1,618 -0,04104 0,35962 0,95964 1,0256313936
1,628 -0,03909 0,35766 0,95768 1,0230345479
1,642 -0,03518 0,34985 0,94791 1,0110222663
1,648 -0,03518 0,35376 0,94791 1,0123819132
1,658 -0,03713 0,35376 0,94986 1,0142774739
1,668 -0,03713 0,35571 0,95573 1,0204548368
1,678 -0,04104 0,36548 0,95964 1,0277007549
1,695 -0,03909 0,36744 0,95768 1,0264946001
1,698 -0,03518 0,36548 0,95573 1,0238325526
1,712 -0,03323 0,36548 0,94986 1,0182896852
1,718 -0,02932 0,35962 0,94009 1,0069535316
1,728 -0,02736 0,35962 0,93814 1,0050779938
1,74 -0,02932 0,36353 0,94009 1,0083565497
1,748 -0,03713 0,37135 0,94595 1,0169074992
1,758 -0,03518 0,36157 0,96941 1,0352421192
1,768 -0,03909 0,35962 0,987 1,0512010143
1,778 -0,04495 0,36157 0,98504 1,0502652851
1,795 -0,04495 0,36353 0,98309 1,0491141556
1,798 -0,04104 0,36744 0,97527 1,0429995245
1,812 -0,03713 0,36548 0,95573 1,0239014114
1,818 -0,03323 0,35962 0,93618 1,0034260161
1,828 -0,02736 0,3518 0,92445 0,9895047307
1,84 -0,02345 0,35766 0,9225 0,9896852167
1,848 -0,01954 0,35376 0,93032 0,9955015076
1,858 -0,01759 0,35376 0,94595 1,0100875943
1,868 -0,01564 0,34985 0,9655 1,0270491138
1,878 -0,01954 0,35962 0,96159 1,0268221288
1,895 -0,02345 0,36157 0,95964 1,0257639577
1,898 -0,02345 0,35571 0,95768 1,0218759656
1,91 -0,0215 0,34789 0,96159 1,0228123143
1,918 -0,01564 0,33226 0,96745 1,0230351019
1,928 -0,01564 0,3303 0,97136 1,0261008475
1,942 -0,01759 0,33421 0,96941 1,0255542308
1,948 -0,01368 0,33617 0,95964 1,0169101931
1,958 -0,02541 0,34594 0,944 1,0057117637
1,968 -0,03713 0,35376 0,94205 1,0069672174
1,978 -0,04691 0,35766 0,93618 1,0032717559
1,998 -0,05082 0,35962 0,92445 0,9932356313
1,999 -0,05082 0,36157 0,92055 0,99031704
2,014 -0,04691 0,36548 0,91468 0,9861113938
2,018 -0,04495 0,37135 0,90882 0,9827894573
2,029 -0,03713 0,36744 0,91273 0,9846150737
2,04 -0,02736 0,36353 0,91664 0,9864742876
2,048 -0,02932 0,35962 0,92641 0,9941939926
2,058 -0,02932 0,35766 0,93423 1,0007827091
2,068 -0,02736 0,3518 0,94791 1,0114569579
2,078 -0,03518 0,35571 0,9655 1,0295423675
2,098 -0,03713 0,35962 0,97136 1,0364581183
2,101 -0,03909 0,35962 0,96745 1,0328669203
2,118 -0,03518 0,35766 0,96745 1,0320454498
2,119 -0,02345 0,34789 0,99091 1,0504665548
2,13 -0,01954 0,34594 0,98895 1,0478923598
2,143 -0,01759 0,34398 0,97918 1,037990906
2,148 -0,01954 0,34203 0,97332 1,0318518086
2,158 -0,01954 0,33226 0,97332 1,028654627
2,168 -0,02345 0,33421 0,97527 1,0312118112
2,178 -0,02932 0,34203 0,97332 1,0320833327
2,195 -0,02736 0,3518 0,96745 1,0297918781
2,198 -0,03127 0,3518 0,97332 1,0354191785
2,213 -0,03713 0,3518 0,98309 1,0448003757
2,218 -0,04104 0,35766 0,98113 1,045093792
2,228 -0,04495 0,35766 0,98309 1,0470946119
