13.16 26.55 40.68
13.09 26.53 40.79
12.40 26.01 39.56
12.33 25.95 39.67
11.53 23.33 34.48
11.47 23.39 34.31
18.81 29.01 34.33
19.41 29.65 39.06
17.50 24.93 28.68
18.37 25.83 29.69
15.00 22.24 26.27
15.49 22.35 26.71
13.91 26.99 39.85
13.75 26.89 39.65
13.03 25.79 38.45
13.29 25.84 38.69
13.03 25.63 37.95
13.34 25.93 38.05
18.27 27.27 32.89
18.81 27.73 33.32
17.16 25.07 30.23
17.57 25.65 30.62
19.96 30.24 36.56
19.95 30.33 36.75
14.84 28.41 42.63
14.64 28.27 42.11
14.70 28.94 43.02
14.34 28.83 42.76
14.23 28.55 43.43
14.32 28.41 43.29
24.10 37.22 44.14
24.29 37.23 44.18
22.73 33.94 39.79
22.61 33.88 39.81
19.67 30.73 36.23
19.67 30.74 36.17
